eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36
2014-10-31,ARKW,0.05675086956067055,0.07056394156151735,0.0053639898229830285,0.14660806547637817,0.5195482436575444
2014-11-30,ARKW,0.08347267933835345,0.11980438742768063,0.05542644882285852,0.1428705693845742,0.5463125410410997
2014-12-31,ARKW,0.10613206996349178,0.11177328464423142,0.07563436195422202,0.12032288399249724,0.5571855025110297
2015-01-31,ARKW,0.08627299350586493,-0.026538824826396024,0.09035404764304444,0.17449980282422228,0.5963418313259005
2015-02-28,ARKW,0.04459253803889851,-0.036965508942057634,0.0752175572067304,0.13277452118986532,0.6264734227399931
2015-03-31,ARKW,0.032641216011166097,-0.03948959180105471,0.11859774642402665,0.1459137027562477,0.6092496053272775
2015-04-30,ARKW,0.013813072000846804,-0.05138687973768752,0.08985719591570762,0.17447944653553582,0.5916533013019976
2015-05-31,ARKW,0.036331708089327175,-0.02804623051549493,0.05939789004622076,0.3048501603176105,0.6256784528872343
2015-06-30,ARKW,0.005641214680739637,-0.030497708009269764,0.01419081402900546,0.27766849792107795,0.6392113175040335
2015-07-31,ARKW,-0.11281181833226095,0.004081054137179518,0.08822680931835736,0.3007727106977056,0.5888065186024583
2015-08-31,ARKW,-0.08155804698095614,0.03062501916783189,0.08818198315096681,0.4312262076988328,0.6515505243280314
2015-09-30,ARKW,-0.07213080781222081,0.08595653041286055,0.11327248674508161,0.4016479797546718,0.6174920034119002
2015-10-31,ARKW,-0.06519995173853432,0.07604412391486082,0.16066637453468902,0.448984302096027,0.6236074691650766
2015-11-30,ARKW,-0.0643779386048221,0.023066181956893583,0.2685184522282833,0.4265081536134191,0.5751301889586804
2015-12-31,ARKW,-0.0361389226900094,0.008549599348265824,0.2720272832403383,0.4454122178667983,0.4629826033816785
2016-01-31,ARKW,0.11689287246944047,0.2010386276506183,0.41358452902996656,0.6228806561522965,0.8151578588813397
2016-02-29,ARKW,0.11218306614878804,0.16974003013192296,0.5127842546797889,0.6634389316820507,0.8156822670120919
