investor,tps,portfolio_size,n_top_tier_connections,sms_score
Mehdi Daoudi,1.0,1,1,0.75
Qualcomm,1.0,1,1,0.75
Torteval Investments,1.0,3,3,0.25
GBS Ventures,1.0,2,2,0.5
Pfizer Venture Investments,1.0,4,4,0.0
Neostella capital,1.0,1,1,0.75
Union Carbide Employee's Pension Plan,1.0,3,3,0.25
Morton Meyerson,1.0,3,3,0.25
Scott Jones,1.0,3,3,0.25
Fritz Lanman,1.0,4,4,0.0
Bobby Lent,1.0,2,2,0.5
Liron Petrushka,1.0,2,2,0.5
Bill Bryant,1.0,2,2,0.5
Global Venture Capital,1.0,2,2,0.5
Nobska Ventures,1.0,1,1,0.75
Jim Mountjoy,1.0,2,2,0.5
Evan Hackel,1.0,3,3,0.25
Excel Venture Management,1.0,1,1,0.75
Jeff Margolis,1.0,3,3,0.25
NAIMI group,1.0,1,1,0.75
Schoffstall Ventures,1.0,3,3,0.25
Blake Krikorian,1.0,4,4,0.0
Wavepoint Ventures,1.0,2,2,0.5
Outfitter Ventures,1.0,2,2,0.5
Bob Bickel,1.0,2,2,0.5
Marc Fleury,1.0,2,2,0.5
Peter Wagner,1.0,3,3,0.25
Qi Lu,1.0,2,2,0.5
Youssri Helmy,1.0,2,2,0.5
Nueva Ventures,1.0,3,3,0.25
Polycom,1.0,3,3,0.25
Interplay Ventures,1.0,3,3,0.25
Gerry Campbell,1.0,2,2,0.5
Dace Ventures,1.0,3,3,0.25
Ithmaar Bank,1.0,2,2,0.5
New Mexico Angels,1.0,1,1,0.75
Draper Nexus Ventures,1.0,1,1,0.75
Brookside Capital,1.0,1,1,0.75
Napkn Ventures,1.0,3,3,0.25
Benhamou Global Ventures,1.0,1,1,0.75
Mantucket Partners,1.0,3,3,0.25
Xenia Venture Capital,1.0,3,3,0.25
Creative Artists Agency,1.0,2,2,0.5
Grail Partners,1.0,3,3,0.25
Grauer Brothers Capital,1.0,3,3,0.25
Paul Longhenry,1.0,3,3,0.25
Gary Kremen,1.0,3,3,0.25
Lorenzo Thione,1.0,3,3,0.25
Marcus Ogawa,1.0,3,3,0.25
High-Tech Grunderfonds Management,1.0,1,1,0.75
SIEGMUND Beteiligungsgesellschaft,1.0,1,1,0.75
Yellow&Blue Investment Management,1.0,1,1,0.75
Cyril Vermeulen,1.0,2,2,0.5
Schooner Capital,1.0,1,1,0.75
Eric Schmidt,1.0,3,3,0.25
MK Capital,1.0,4,4,0.0
Salil Deshpande,1.0,3,3,0.25
Costanoa Venture Capital,1.0,3,3,0.25
David Ossip,1.0,1,1,0.75
RADLP,1.0,1,1,0.75
Nokia,1.0,3,3,0.25
Amplifier Venture Partners,1.0,4,4,0.0
Iris Capital,1.0,1,1,0.75
Kite Ventures,1.0,4,4,0.0
Team Europe,1.0,2,2,0.5
SVB Capital,1.0,1,1,0.75
Hasso Plattner Ventures,1.0,1,1,0.75
Kyowa Hakko Kirin,1.0,2,2,0.5
Al Avery,1.0,2,2,0.5
Chengwei Capital,1.0,4,4,0.0
Black Coral Capital,1.0,2,2,0.5
Brett Brewer,1.0,1,1,0.75
Robin Richards,1.0,1,1,0.75
Scott Walchek,1.0,1,1,0.75
Bluff Point Associates,1.0,1,1,0.75
Generation Partners,1.0,1,1,0.75
Ben Narasin,1.0,3,3,0.25
Bradley Horowitz,1.0,4,4,0.0
Indian Angel Network,1.0,2,2,0.5
Cox Enterprises,1.0,3,3,0.25
Jim Larrison,1.0,4,4,0.0
Russ Fradin,1.0,4,4,0.0
360 Capital Partners,1.0,2,2,0.5
Fonds pour la Soci̩t̩ Numerique,1.0,2,2,0.5
BCN Ventures,1.0,2,2,0.5
Zack Urlocker,1.0,4,4,0.0
Ouriel Ohayon,1.0,1,1,0.75
Pierre Chappaz,1.0,1,1,0.75
ATEL Ventures,1.0,3,3,0.25
Bain Capital,1.0,1,1,0.75
Jon Feltheimer,1.0,1,1,0.75
Mark Amin,1.0,1,1,0.75
Braveheart Investment Group,1.0,2,2,0.5
Enso Ventures,1.0,1,1,0.75
Omega Funds,1.0,1,1,0.75
Steve Blank,1.0,2,2,0.5
Rod Johnson,1.0,3,3,0.25
Bend Venture Conference,1.0,4,4,0.0
Care Capital,1.0,4,4,0.0
Warner Music Group,1.0,3,3,0.25
Patrick Condon,1.0,1,1,0.75
TechOperators,1.0,4,4,0.0
Chicago Ventures,1.0,2,2,0.5
