investor,tps,portfolio_size,n_top_tier_connections,sms_score
Quest Ventures,1.0,1,1,0.75
Relevance Capital,1.0,1,1,0.75
Thomvest,1.0,1,1,0.75
Alan Warms,1.0,2,2,0.5
Bill Bishop,1.0,2,2,0.5
Eric Bolling,1.0,2,2,0.5
Evercore Partners,1.0,2,2,0.5
Gregory Avis,1.0,2,2,0.5
Parker Weil,1.0,2,2,0.5
Cerval Investments,1.0,1,1,0.75
Initial Capital,1.0,1,1,0.75
London Venture Partners,1.0,1,1,0.75
Base Ventures,1.0,1,1,0.75
Eytan Elbaz,1.0,2,2,0.5
Jeff Stibel,1.0,2,2,0.5
Mike Walsh,1.0,2,2,0.5
MuckerLab,1.0,2,2,0.5
Rick Caruso,1.0,2,2,0.5
David Mahoney,1.0,2,2,0.5
Vince Vannelli,1.0,2,2,0.5
Winton Partners,1.0,2,2,0.5
International Biotechnology Trust,1.0,2,2,0.5
Alex Welch,1.0,3,3,0.25
Jordan Greenhall,1.0,3,3,0.25
Shawn Hardin,1.0,3,3,0.25
New Dominion Angels,1.0,2,2,0.5
University License Equity Holdings,1.0,4,4,0.0
John Hime,1.0,1,1,0.75
Kevin Cunningham,1.0,1,1,0.75
Mike Turner,1.0,1,1,0.75
Barry Silbert,1.0,3,3,0.25
Ed Zander,1.0,3,3,0.25
Jeremy Arnon,1.0,3,3,0.25
Mikkel Eriksen,1.0,3,3,0.25
Mikkel Sandvik,1.0,3,3,0.25
Nihal Mehta,1.0,3,3,0.25
Paul Olliver,1.0,3,3,0.25
Quotidian Ventures,1.0,3,3,0.25
Robert Johnston,1.0,3,3,0.25
Scott Switzer,1.0,3,3,0.25
Spring Capital Partners,1.0,3,3,0.25
Guggenheim Partners,1.0,4,4,0.0
Jeff Lunsford,1.0,1,1,0.75
John Vincent,1.0,1,1,0.75
Thomas Falks,1.0,1,1,0.75
Viventures,1.0,4,4,0.0
Jeff Jordan,1.0,2,2,0.5
HSBC Retail Services,1.0,3,3,0.25
J Allard,1.0,1,1,0.75
Gerry Laybourne,1.0,1,1,0.75
John Landry,1.0,1,1,0.75
Oxygen Media,1.0,1,1,0.75
Anjula Acharia Bath,1.0,4,4,0.0
Michael Banks,1.0,4,4,0.0
Rohan Oza,1.0,4,4,0.0
Chance Technologies,1.0,1,1,0.75
Rob Solomon,1.0,2,2,0.5
Anthony Casalena,1.0,2,2,0.5
Roelof Botha,1.0,2,2,0.5
Tony Bates,1.0,2,2,0.5
Wallington Investments,1.0,1,1,0.75
Joe Proto,1.0,2,2,0.5
Stanford Management,1.0,2,2,0.5
Rakesh Loonkar,1.0,1,1,0.75
Alex Karakozoff,1.0,3,3,0.25
Frontier Management Group,1.0,2,2,0.5
JAIC America,1.0,2,2,0.5
Ammer!Partners,1.0,1,1,0.75
Carrington Equity,1.0,1,1,0.75
Geitner Investment,1.0,1,1,0.75
Morten Lund,1.0,1,1,0.75
Elliot Ng,1.0,2,2,0.5
Pete Grillo,1.0,3,3,0.25
Pyrford Enterprises,1.0,3,3,0.25
Atiq Raza,1.0,3,3,0.25
Victoria Park Capital,1.0,2,2,0.5
HSBC Private Equity (Asia),1.0,1,1,0.75
Legend Capital,1.0,1,1,0.75
Advent Life Sciences,1.0,1,1,0.75
David Goldberg,1.0,4,4,0.0
Jonathan Heiliger,1.0,4,4,0.0
Neoteny Labs,1.0,4,4,0.0
Rajesh Sawhney,1.0,4,4,0.0
The Raine Group,1.0,4,4,0.0
Turner Broadcasting,1.0,4,4,0.0
Jeff Holmes,1.0,3,3,0.25
Errol Damelin,1.0,4,4,0.0
Florian Otto,1.0,4,4,0.0
Gordon Rubenstein,1.0,4,4,0.0
Greg Waldorf,1.0,4,4,0.0
Micky Malka,1.0,4,4,0.0
Shaun Di Gregorio,1.0,4,4,0.0
Wences Casares,1.0,4,4,0.0
Bill Gurley,1.0,2,2,0.5
David Sze,1.0,2,2,0.5
Roger Evans,1.0,2,2,0.5
Adrian Critchlow,1.0,1,1,0.75
Andy Phillipps,1.0,1,1,0.75
Brent Hoberman,1.0,4,4,0.0
Constant Tedder,1.0,1,1,0.75
David Soskin,1.0,1,1,0.75
Stefan Glaenzer,1.0,1,1,0.75
Tony Cohen,1.0,1,1,0.75
Wolf Hengst,1.0,1,1,0.75
Devdutt Yellurkar,1.0,3,3,0.25
John Ruffolo,1.0,3,3,0.25
Great Hill Partners,1.0,3,3,0.25
Allegiance Capital,1.0,3,3,0.25
Thunder Road Capital,1.0,2,2,0.5
Mianach Venture Capital,1.0,1,1,0.75
Paddy Holahan,1.0,1,1,0.75
Spring Mountain Capital,1.0,2,2,0.5
Intersections,1.0,2,2,0.5
Mike Olson,1.0,3,3,0.25
The Argentum Group,1.0,1,1,0.75
Greenwich Technology Associates,1.0,2,2,0.5
Jay Adelson,1.0,2,2,0.5
Spinner Asset Management,1.0,1,1,0.75
Ben Sun,1.0,4,4,0.0
Ed Sim,1.0,4,4,0.0
SVASE/Cambridge West Ventures,1.0,2,2,0.5
GreatPoint Ventures,1.0,2,2,0.5
Nomura Phase4 Ventures,1.0,3,3,0.25
Existing Investors,1.0,2,2,0.5
Mike Galgon,1.0,2,2,0.5
Corporate Finance Partners,1.0,2,2,0.5
Klaus Wecken,1.0,1,1,0.75
Ferry Wecken,1.0,2,2,0.5
Ina Wecken,1.0,2,2,0.5
Odeon Venture Capital AG,1.0,2,2,0.5
Prof. Conen,1.0,2,2,0.5
Prof. Dr. Wolfram Conen,1.0,2,2,0.5
SeedCapital Dortmund,1.0,2,2,0.5
ThÃÂ¼mmler GmbH,1.0,2,2,0.5
ThÃ¼mmler GmbH,1.0,2,2,0.5
venturecapital.de,1.0,2,2,0.5
David Levinksy,1.0,3,3,0.25
Eric Manno,1.0,3,3,0.25
Mark Manno,1.0,3,3,0.25
Tyler Roye,1.0,3,3,0.25
Cronus Ventures,1.0,3,3,0.25
Biogen Idec,1.0,3,3,0.25
Ignite Group,1.0,2,2,0.5
Parawin Venture Capital,1.0,3,3,0.25
Information Technology Ventures,1.0,2,2,0.5
Jerry Kaplan,1.0,2,2,0.5
Junos Innovation Fund,1.0,1,1,0.75
SVB India Capital Partners,1.0,3,3,0.25
Warner Bros.,1.0,1,1,0.75
John Hunt,1.0,2,2,0.5
Marc Simoncini,1.0,2,2,0.5
Citi Growth Ventures & Innovation Group,1.0,3,3,0.25
