investor,tps_raw,top_tier_targets,companies_hit,portfolio_size,tps,out_degree
Brian Lee,2.5205278767468235,8,2,8,0.31506598459335294,5.7486
Oren Zeev,1.254841336918851,5,3,4,0.31371033422971273,5.3629999999999995
Michael Loeb,0.3110501105344362,2,1,1,0.3110501105344362,0.6876
Charlie Federman,0.3110501105344362,2,1,1,0.3110501105344362,0.6876
Ilan Kaufthal,0.3110501105344362,2,1,1,0.3110501105344362,0.6876
Geoff Ralston,1.8658375979579314,5,1,6,0.31097293299298856,4.542
Roger Ehrenberg,2.7949358860572255,20,4,9,0.31054843178413616,12.1436
KITVEN Fund,0.30653882003623567,1,1,1,0.30653882003623567,0.6376
Alan Warms,0.6121455364119208,2,1,2,0.3060727682059604,1.5016
Investment AB ÃÂresund,0.3051069371351077,1,1,1,0.3051069371351077,0.4834
Paige Craig,2.7355608599836296,26,3,9,0.30395120666484776,18.8297
Ben Horowitz,2.1198403845283766,10,3,7,0.30283434064691095,7.647
David Lee,1.4948767684419204,8,2,5,0.29897535368838407,4.8828
Brian Bedol,0.298757920337694,2,1,1,0.298757920337694,1.3484
Zero2IPO Capital,1.192692294594094,2,1,4,0.2981730736485235,3.9087
Google,2.086624474789576,5,2,7,0.29808921068422517,4.9849
Marc Benioff,5.6172818650749665,21,5,19,0.295646413951314,15.6204
Alan Laifer,0.5906349457120667,6,1,2,0.2953174728560333,3.4745999999999997
Gary Vaynerchuk,2.9447720177962924,14,4,10,0.2944772017796292,11.0077
Mitch Kapor,4.705579638069125,25,7,16,0.2940987273793203,16.7836
Global Brain Corporation,1.1744585652121453,21,2,4,0.29361464130303633,15.6306
Alex Zubillaga,2.9332995969722058,10,3,10,0.2933299596972206,7.298
Comerica Bank,1.1662619796716558,5,1,4,0.29156549491791395,7.9910000000000005
Peter Wagner,0.8694348822650066,3,1,3,0.2898116274216689,2.2395
Chris Hughes,0.5710388798480154,3,2,2,0.2855194399240077,1.8606
Bill Harris,0.28542503107711703,3,1,1,0.28542503107711703,1.5732
ZIG Capital,1.1412224947986354,20,2,4,0.28530562369965884,14.8288
Allegiance Capital,0.28495226031158843,3,1,1,0.28495226031158843,0.9743999999999999
BoxGroup,3.1110583925253774,9,2,11,0.28282349022957975,8.7158
John Glynn,0.28202608982720884,10,1,1,0.28202608982720884,4.83
Varsha Rao,0.28202608982720884,10,1,1,0.28202608982720884,4.83
DeeBek Ventures,0.28202608982720884,10,1,1,0.28202608982720884,4.83
Spansion,0.2818090867309465,2,1,1,0.2818090867309465,1.0356
The Kinsey Hills Group,0.5622893792982115,2,1,2,0.2811446896491058,1.2554
Keith Rabois,6.180299095952416,23,5,22,0.28092268617965527,17.5609
Pinnacle Ventures,3.360812763924088,10,2,12,0.2800677303270073,8.7157
PAR Capital Ventures,0.559934591274349,6,1,2,0.2799672956371745,3.9017999999999997
Open Innovation Ventures,0.27982395049564257,3,1,1,0.27982395049564257,1.3164
Naval Ravikant,7.257027736239612,23,8,26,0.27911645139383123,20.596799999999998
Constantin Partners,1.1152326740003704,5,2,4,0.2788081685000926,3.2142
Mike Volpi,0.5558872815439024,2,1,2,0.2779436407719512,1.3764
Sean Parker,0.5558872815439024,2,1,2,0.2779436407719512,1.3764
SV Angel,63.627886377962774,158,71,229,0.27785103221817803,212.9123
Radar Partners,3.0446445622669613,11,5,11,0.2767858692969965,9.2821
VIMAC Milestone Medical Fund,0.27642751505708946,3,1,1,0.27642751505708946,1.5575
Mark Leslie,1.3764798375466138,5,2,5,0.2752959675093228,4.7656
Kirlan Venture Capital,0.2742094851449691,3,1,1,0.2742094851449691,1.868
PacVen Walden Ventures,0.5473933890012016,3,1,2,0.2736966945006008,1.8599999999999999
Honda Motor Company,0.27317317677850855,2,1,1,0.27317317677850855,2.3724
Atrium Venture Partners,0.27317317677850855,2,1,1,0.27317317677850855,2.3724
Himalaya Capital Ventures,0.27264324372528964,1,1,1,0.27264324372528964,1.8212
"Duff, Ackerman and Goodrich",0.816514801685573,8,1,3,0.2721716005618577,4.3208
Golden Venture Partners,1.631824458291732,6,2,6,0.271970743048622,4.3576
Max Levchin,5.71017021159001,22,7,21,0.2719128672185719,17.1105
Jesselson Capital,0.8083854325552468,2,1,3,0.2694618108517489,2.7861
Oliver Jung,1.612534530135767,5,1,6,0.26875575502262783,3.989
Joshua Schachter,4.549223599953558,15,5,17,0.26760138823256224,11.0268
Sarofim Fayez and Co.,1.060064356881112,2,2,4,0.265016089220278,2.6528
David Rosenblatt,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Robert Johnston,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Nihal Mehta,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Jeremy Arnon,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Mikkel Eriksen,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Ed Zander,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Paul Olliver,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Mikkel Sandvik,0.26202638587205673,3,1,1,0.26202638587205673,1.6215
Emil Michael,1.3007828122254348,7,1,5,0.26015656244508695,2.7992999999999997
HOWZAT media,0.5189061722983378,3,1,2,0.2594530861491689,1.0773
Bruno Bowden,0.7782526026530192,3,1,3,0.25941753421767305,1.6949999999999998
Venture Frogs,0.5141068768310515,2,1,2,0.25705343841552575,3.2708
Bobby Yazdani,2.55536482165776,15,2,10,0.255536482165776,11.781
Skyline Ventures,2.0341976514104827,12,3,8,0.25427470642631034,15.9726
Yahoo!,1.5122776555596957,5,2,6,0.25204627592661594,4.7974
Peter Thiel,6.034145447506134,25,6,24,0.25142272697942225,21.9605
Landis Capital,0.5026329711694885,4,1,2,0.25131648558474423,2.812
Baidu,0.5020343115723807,4,1,2,0.2510171557861903,4.9133
Andrew Rasiej,0.501637243567569,2,1,2,0.2508186217837845,1.3992
Robin Chan,0.501637243567569,2,1,2,0.2508186217837845,1.3992
Silicon Valley Internet Capital,0.250339365934177,2,1,1,0.250339365934177,1.6984
Jeff Clavier,1.741093947754771,11,6,7,0.24872770682211015,10.6477
First Round Capital,40.64142395064124,139,64,164,0.24781356067464172,161.9542
Peter Thorp,0.24757618906609016,1,1,1,0.24757618906609016,1.3774
Russ Fradin,0.49432637601885865,4,1,2,0.24716318800942932,2.6204
Stage One Capital,1.4797536917390515,6,2,6,0.24662561528984192,4.8093
Pilot Group,2.712361164854597,11,1,11,0.2465782877140543,9.341199999999999
Transcoast Capital,0.24654218375970993,3,1,1,0.24654218375970993,3.038
Jake Lodwick,0.24654218375970993,3,1,1,0.24654218375970993,2.2784999999999997
Jeff Margolis,0.24616201894605647,3,1,1,0.24616201894605647,1.9962
Evan Hackel,0.24616201894605647,3,1,1,0.24616201894605647,1.9962
Shelter Capital Partners,0.7370050501465478,3,2,3,0.24566835004884927,4.0328
Nils Johnson,0.9800353700705526,2,1,4,0.24500884251763816,1.7322
Steve Chen,0.9800353700705526,2,1,4,0.24500884251763816,1.7322
Selby Venture Partners,1.7103451385839792,8,4,7,0.2443350197977113,7.4931
Draper Richards,5.612238321673512,25,10,23,0.24401036181189184,24.9576
Ashton Peery,0.24287367623326975,2,1,1,0.24287367623326975,3.1652
Tribeca Venture Partners,3.398093249892214,19,6,14,0.2427209464208724,17.1113
TPG Growth,1.4465816111967367,7,2,6,0.2410969351994561,5.0493
Mark Wachen,0.47797906634789267,3,1,2,0.23898953317394633,1.6758
Cox Enterprises,0.4774311921109409,3,1,2,0.23871559605547046,1.9653
Dave McClure,4.050095000178034,15,4,17,0.2382408823634138,13.292
SVASE/Cambridge West Ventures,0.23820572228657969,2,1,1,0.23820572228657969,1.192
First Ventures,0.23689591214412503,3,1,1,0.23689591214412503,2.8868
NIF Ventures,0.23677845613264253,2,1,1,0.23677845613264253,1.8666
Peter Lehrman,0.9451947949444447,16,1,4,0.23629869873611117,12.8288
AOL Ventures,3.771187494089674,22,6,16,0.23569921838060462,14.6908
Anthemis Group,2.3485051235811865,9,3,10,0.23485051235811866,7.3809
Eduardo Saverin,0.46961225124492584,1,1,2,0.23480612562246292,1.562
Mike Volpe,0.4676295521933208,2,1,2,0.2338147760966604,1.618
Evercore Partners,0.4673996483382583,2,1,2,0.23369982416912916,1.145
David Ulevitch,0.46676748861881495,5,1,2,0.23338374430940748,2.6305
Pacific Partners,0.46676748861881495,5,1,2,0.23338374430940748,2.6305
Monster Venture Partners,0.696399115486838,3,1,3,0.23213303849561265,2.1687
CIM Fund,0.2313870846241488,1,1,1,0.2313870846241488,0.4624
Jeremy Stoppelman,1.151588617571225,6,1,5,0.230317723514245,4.8582
AT&T,1.1479211621544774,5,3,5,0.22958423243089549,3.9554
Ariel Poler,3.4062501826250173,18,5,15,0.22708334550833448,12.3923
Gary Ginsberg,0.4533006321667596,1,1,2,0.2266503160833798,2.8728
Jason Calacanis,2.4835088811594064,6,3,11,0.22577353465085512,5.8459
Lowercase Capital,5.373709345554838,22,6,24,0.2239045560647849,14.4307
NEC,0.6712623146571399,4,2,3,0.22375410488571332,5.0008
Digital Garage,2.6802790109905277,9,1,12,0.22335658424921065,5.814
WR Hambrecht,0.665538975846141,2,1,3,0.22184632528204698,1.5064
Baroda Ventures,3.0923110690164766,10,3,14,0.22087936207260547,7.5691
Guy Kawasaki,0.21919244702494045,2,1,1,0.21919244702494045,1.686
Creative Artists Agency,0.6548433149455326,2,1,3,0.2182811049818442,1.4388
Errol Damelin,0.21755875942901062,4,1,1,0.21755875942901062,3.0304
Gordon Rubenstein,0.21755875942901062,4,1,1,0.21755875942901062,3.0304
Micky Malka,0.21755875942901062,4,1,1,0.21755875942901062,3.0304
Wences Casares,0.21755875942901062,4,1,1,0.21755875942901062,3.0304
Shaun Di Gregorio,0.21755875942901062,4,1,1,0.21755875942901062,3.0304
DFJ Gotham Ventures,4.131923524568622,19,9,19,0.2174696591878222,18.02
Alex Hoye,0.21525360339415195,4,1,1,0.21525360339415195,4.724
David Shen Ventures,0.21525360339415195,4,1,1,0.21525360339415195,4.724
Polar Capital Group,0.21511684858054891,1,1,1,0.21511684858054891,0.5477
Seraph Group,1.075115653342654,8,2,5,0.2150231306685308,4.7844
Steven Bochco,0.21323413369432054,3,1,1,0.21323413369432054,2.6675
Total Energy Ventures,0.42631483736275033,1,1,2,0.21315741868137517,1.453
Ram Shriram,2.1294841413067545,13,4,10,0.21294841413067545,7.6718
Collaborative Fund,2.3414872650134098,7,1,11,0.2128624786375827,5.8282
Jim Pallotta,1.2743381560899318,9,3,6,0.2123896926816553,5.2226
MissionPoint Capital Partners,0.8459355702661714,5,1,4,0.21148389256654285,6.198499999999999
FLOODGATE,16.451385632838466,50,23,78,0.21091520042100598,53.7312
IA Capital Partners,0.21078139719647396,2,1,1,0.21078139719647396,2.2108
Stingray Digital,0.21040265603056962,2,1,1,0.21040265603056962,0.982
Ed Park,0.42078296797247905,4,1,2,0.21039148398623952,2.5232
Jonathan Bush,0.42078296797247905,4,1,2,0.21039148398623952,2.5232
SunAmerica Ventures,0.6308568627066804,3,2,3,0.2102856209022268,3.7506
Benchmark,24.46974103561152,75,45,117,0.20914308577445745,97.3472
Felicis Ventures,16.058913461466883,61,22,77,0.20855731768138808,56.9807
Amicus Capital,3.1276572713914694,13,6,15,0.2085104847594313,13.9381
Michael Katz,0.20730291180169136,3,1,1,0.20730291180169136,2.1831
Embarcadero Ventures,1.4449395553253108,6,2,7,0.2064199364750444,4.5073
Amazon,2.063211144846029,4,1,10,0.20632111448460289,4.1224
Tola Capital,0.41253618316825647,1,1,2,0.20626809158412823,1.9218000000000002
Baker Capital,0.41253618316825647,1,1,2,0.20626809158412823,0.703
Fenwick & West,0.6175199944467359,3,1,3,0.20583999814891196,3.1112
eonBusiness,0.8193434104052961,9,1,4,0.20483585260132403,7.005599999999999
Resolute.vc,1.6372152972205771,6,1,8,0.20465191215257214,4.7867999999999995
Nikko Antfactory,0.20395665612215633,9,1,1,0.20395665612215633,5.7996
Orix Capital Corporation,0.20395665612215633,9,1,1,0.20395665612215633,5.7996
Kansas Bioscience Authority,0.20341264768015488,2,1,1,0.20341264768015488,2.2803
Joe Greenstein,1.2170142415141134,3,1,6,0.2028357069190189,2.6436
Rajeev Motwani,1.0129739386580812,6,4,5,0.20259478773161624,4.9099
AOL,0.807822765206301,3,2,4,0.20195569130157526,2.0284999999999997
Michael Chasen,0.4027957966552541,3,1,2,0.20139789832762706,2.2288
IA Ventures,5.802121882409269,32,11,29,0.20007316835894032,24.671499999999998
Jeff Lunsford,0.3975898565318067,1,1,2,0.19879492826590334,0.8569
Shasta Ventures,14.501867702238247,40,19,73,0.19865572194846914,47.7525
Dan Rose,0.9932395248743514,6,1,5,0.19864790497487028,3.4836
Timothy Draper,4.170829559450943,31,7,21,0.19861093140242586,22.0811
Angeleno Group,0.7931196491758901,7,1,4,0.19827991229397252,5.0025
W Media Ventures,0.792407832035096,2,1,4,0.198101958008774,2.4072
Advanced Equities,0.7916843937248059,7,1,4,0.19792109843120148,3.7807000000000004
Chamath Palihapitiya,2.364804587714318,12,3,12,0.19706704897619318,8.473700000000001
Atiq Raza,0.19652150760110496,3,1,1,0.19652150760110496,2.1422999999999996
Quest Venture Partners,2.5478133907286677,12,4,13,0.19598564544066674,7.897
David Wu,0.9757919191445066,4,2,5,0.19515838382890133,3.1104000000000003
Merck Serono Ventures,0.7805882237082262,3,1,4,0.19514705592705656,2.7096
Wallington Investments,0.19496635860786518,1,1,1,0.19496635860786518,0.8819
Timothy Ferriss,2.1436961354226174,5,2,11,0.19488146685660157,3.9856
LGiLab,0.38818419811402755,3,1,2,0.19409209905701377,3.7445
Brad Garlinghouse,1.9347434957142073,15,4,10,0.19347434957142073,8.026299999999999
Larkspur Capital Corporation,0.19326854999484672,5,1,1,0.19326854999484672,3.1205
Chris Yeh,0.19216242072561882,2,1,1,0.19216242072561882,1.5846
Robert Winter,0.19216242072561882,2,1,1,0.19216242072561882,1.5846
Anthos Capital,0.3841443684726835,1,1,2,0.19207218423634176,0.8819
Worldview Technology Partners,1.9206198412695872,12,5,10,0.1920619841269587,8.0004
SVB India Capital Partners,0.19155834232338556,3,1,1,0.19155834232338556,1.9143
Jon Lovelace,0.19152572392261838,1,1,1,0.19152572392261838,2.223
Andrew Tobias,0.19152572392261838,1,1,1,0.19152572392261838,2.223
Gerace Family,0.19152572392261838,1,1,1,0.19152572392261838,2.223
American Public Media,0.19152572392261838,1,1,1,0.19152572392261838,2.223
Veritas Venture Partners,0.19107142534372779,2,1,1,0.19107142534372779,1.9605
Genacast Ventures,1.1458929463415801,10,3,6,0.1909821577235967,6.136
Stewart Butterfield,0.3811393048793904,1,1,2,0.1905696524396952,0.9511
Jim Hornthal,0.3806983489337446,4,1,2,0.1903491744668723,2.644
Neu Venture Capital,2.093747544544171,11,5,11,0.19034068586765193,10.9252
Matt Mullenweg,2.6493734600485355,10,2,14,0.18924096143203825,6.483
Harrison Metal Capital,6.59855493787139,26,9,35,0.18853014108203972,20.262900000000002
Craig Sherman,0.5622893792982115,2,1,3,0.18742979309940386,1.8831000000000002
Xavier Niel,0.5617073622240161,3,2,3,0.18723578740800537,2.7632000000000003
Village Ventures,5.790847294189731,26,12,31,0.18680152561902358,24.8571
Expansion Capital Partners,0.7411813573767037,3,1,4,0.1852953393441759,5.1044
Venio Capital Partners,0.1843324414710244,2,1,1,0.1843324414710244,1.8861
Union Square Ventures,9.584561886899074,38,20,52,0.1843184978249822,36.321
Richmond Global,0.7334144315585305,3,2,4,0.18335360788963262,3.5903
Omidyar Network,4.398683107276343,16,8,24,0.18327846280318094,15.2387
CramerOnline,0.18321326963634293,5,1,1,0.18321326963634293,4.201
Morten Lund,0.9146744618456444,1,1,5,0.18293489236912888,0.9511
Creandum,2.3764624081984405,10,5,13,0.18280480063064927,12.2863
Baseline Ventures,9.490192450549914,41,14,52,0.18250370097211374,36.2934
Fund Creation,0.18248753442508725,8,1,1,0.18248753442508725,5.1552
NIF SMBC Ventures,0.18248753442508725,8,1,1,0.18248753442508725,5.1552
Endeavour Capital,0.36440219066669893,2,1,2,0.18220109533334947,1.982
Hanna Ventures,0.18196447478364788,3,1,1,0.18196447478364788,2.976
Long River Ventures,1.2727739008982057,7,4,7,0.18182484298545795,5.8988
PureTech Ventures,0.36096235594655923,2,1,2,0.18048117797327962,1.793
Inflexion Partners,0.7214762657857526,3,1,4,0.18036906644643816,2.4552
Founders Fund,11.33676461858346,41,17,63,0.17994864473942002,37.9523
The Mail Room Fund,0.35972764921958045,2,1,2,0.17986382460979022,1.3048
Bluff Point Associates,0.5384591666471517,1,1,3,0.17948638888238388,0.7071
Ribbit Capital,0.8947915413507537,3,2,5,0.17895830827015075,4.0138
Mark Schulze,0.1788935894707729,4,1,1,0.1788935894707729,2.0
Tel-Ad Electronics,0.3577215650208901,2,1,2,0.17886078251044504,1.239
Hermann Hauser,0.1786277686232191,4,1,1,0.1786277686232191,2.1174999999999997
David Richmond,0.1786277686232191,4,1,1,0.1786277686232191,2.1174999999999997
"Mike Maples, Sr.",0.1785505139735443,1,1,1,0.1785505139735443,0.7088
Matt Ocko,1.7837528673934941,5,2,10,0.1783752867393494,4.7924999999999995
Shlomo Kramer,0.8910683114325514,6,3,5,0.17821366228651028,3.3362000000000003
Endeavor Partners,0.7106721801470939,5,2,4,0.17766804503677347,3.9090000000000003
Lerer Ventures,14.195847905450888,44,17,80,0.1774480988181361,48.442099999999996
Winton Partners,0.1771475954871058,2,1,1,0.1771475954871058,1.4458
Vince Vannelli,0.1771475954871058,2,1,1,0.1771475954871058,1.4458
e.ventures,5.667523708256173,17,9,32,0.1771101158830054,19.2377
Greg Gunn,0.17664298345460705,5,1,1,0.17664298345460705,3.5210000000000004
Richard Chino,0.17664298345460705,5,1,1,0.17664298345460705,3.5210000000000004
MentorTech Ventures,2.118403556345369,9,4,12,0.17653362969544742,7.2967
SIG,0.7059901396951879,2,1,4,0.17649753492379697,4.3020000000000005
Jerry Kaplan,0.17597837206352637,2,1,1,0.17597837206352637,1.3528
Information Technology Ventures,0.17597837206352637,2,1,1,0.17597837206352637,1.3528
Signia Venture Partners,2.984488114923673,17,5,17,0.1755581244072749,16.0914
Bob Lisbonne,0.17485047368010725,2,1,1,0.17485047368010725,1.1526
Christian Dahlen,0.34934421929221793,2,1,2,0.17467210964610896,1.7436
Turner Broadcasting,0.3490059178349522,4,2,2,0.1745029589174761,2.4767
Dan Gillmor,0.3489860974074771,3,2,2,0.17449304870373855,2.4508
Red Swan,3.2967480405732914,11,3,19,0.17351305476701534,10.9937
Founder's Co-op,2.0815245310780486,9,3,12,0.17346037758983737,6.366
Silicon Valley Bank,2.4272368069203383,8,3,14,0.173374057637167,8.7367
IndoUS Venture Partners,1.5596219684641055,4,3,9,0.17329132982934506,5.8258
Jeff Holmes,0.1730483232358924,3,1,1,0.1730483232358924,2.2728
Dave Morin,3.2841766849860226,8,3,19,0.17285140447294856,6.4038
MediBic Alliance,0.17264659616655254,7,1,1,0.17264659616655254,3.6946000000000003
Emerging Technology Partners,0.17264659616655254,7,1,1,0.17264659616655254,4.2224
NextView Ventures,2.0647386869253967,8,2,12,0.17206155724378305,7.569699999999999
High Line Venture Partners,1.7193921324173878,13,3,10,0.17193921324173878,8.4102
MHS Capital,1.8912611947082791,10,6,11,0.17193283588257083,8.2019
Blacksmith Capital,0.5142157987009213,6,2,3,0.1714052662336404,3.8205999999999998
Mark Tebbe,0.1713407410386058,2,1,1,0.1713407410386058,4.6434999999999995
Mort Meyerson,0.1713407410386058,2,1,1,0.1713407410386058,4.6434999999999995
BLH Venture Partners,0.5118271886126753,4,2,3,0.17060906287089175,6.1004000000000005
ComVentures,1.361969259988279,10,6,8,0.17024615749853486,7.4109
G-Market,0.1694054796144892,1,1,1,0.1694054796144892,1.519
Helion Venture Partners,2.869369762003843,9,5,17,0.16878645658846136,9.0839
Trilogy Equity Partnership,2.185902370020472,6,2,13,0.16814633615542093,4.8956
David Niu,0.16768325605397072,2,1,1,0.16768325605397072,3.267
Alan Axelrod,0.16768325605397072,2,1,1,0.16768325605397072,3.267
Marc Friend,0.16768325605397072,2,1,1,0.16768325605397072,3.267
Brian Goffman,0.16768325605397072,2,1,1,0.16768325605397072,3.267
Spring Mountain Capital,0.5025939190437738,2,1,3,0.1675313063479246,1.7026
First Round,0.3350076634004674,3,1,2,0.1675038317002337,1.7822999999999998
European Founders Fund,2.008155299055926,7,3,12,0.16734627492132717,6.3151
Esther Dyson,4.3507443898424825,21,9,26,0.16733632268624932,16.8032
Zachary Bogue,0.501637243567569,2,1,3,0.167212414522523,1.3992
Guggenheim Partners,0.6638078028938736,4,1,4,0.1659519507234684,2.8964
Wilson Sonsini Goodrich & Rosati,1.4799432753522792,13,4,9,0.1644381417058088,8.7902
Alt Option Return,0.3282114501031893,3,1,2,0.16410572505159465,1.4609999999999999
Mike Galgon,0.1640851013140429,2,1,1,0.1640851013140429,1.345
Existing Investors,0.1640851013140429,2,1,1,0.1640851013140429,1.345
Mantucket Partners,0.16383656406529887,3,1,1,0.16383656406529887,2.4072
Ali Partovi,1.4668381897123886,5,4,9,0.16298202107915427,4.4814
Jon Feltheimer,0.16291173322397592,1,1,1,0.16291173322397592,0.8604
Mark Amin,0.16291173322397592,1,1,1,0.16291173322397592,0.8604
Outfitter Ventures,0.16262327107198518,2,1,1,0.16262327107198518,1.2856
Yellowstone Capital,0.32182627279450277,2,1,2,0.16091313639725138,1.7895
Allen & Company,3.69290674231209,17,5,23,0.1605611627092213,10.9745
Bessemer Venture Partners,15.891119966846263,61,37,99,0.1605163633014774,65.1525
Northport Private Equity,0.3188590568203886,1,1,2,0.1594295284101943,2.9884
"Consigliere Brand Capital, LLC",0.47797906634789267,3,1,3,0.15932635544929755,1.6758
Argo Global Capital,0.15876495058808998,2,1,1,0.15876495058808998,0.8554
Cherrystone,0.15809641214828607,6,1,1,0.15809641214828607,6.747
North Country Angels,0.15809641214828607,6,1,1,0.15809641214828607,6.072299999999999
Don Katz,0.4740368167736876,2,2,3,0.15801227225789585,3.3848
Anthony Casalena,0.31546341747782664,2,1,2,0.15773170873891332,0.8848
White Star Capital,0.9457527811271504,11,1,6,0.15762546352119175,6.739199999999999
Catamount Ventures,1.566645916413303,8,4,10,0.15666459164133031,6.8335
Founder Collective,11.592914893365306,56,19,74,0.15666101207250413,51.7639
Jason Kiefer,0.1564292425698791,3,1,1,0.1564292425698791,2.016
Yuval Tal,0.3110501105344362,2,1,2,0.1555250552672181,0.6876
British Telecom,0.30942857728753453,3,1,2,0.15471428864376727,1.6328
John Cunningham,0.3092855996751566,6,2,2,0.1546427998375783,4.8681
The Accelerator Group,1.234137095424469,16,4,8,0.15426713692805863,10.7712
SK Ventures,0.7642487550927504,8,1,5,0.15284975101855008,6.2272
Monashees Capital,2.1293339195092003,10,5,14,0.15209527996494288,11.3149
Gemstar-TV Guide International,0.15184823527590985,1,1,1,0.15184823527590985,0.7893
Indian Angel Network,0.45352921792351675,2,1,3,0.15117640597450557,1.322
Medley Partners,0.150945789970594,3,1,1,0.150945789970594,2.1144
Rose Tech Ventures,2.708108460729664,8,6,18,0.15045047004053688,14.1411
Andy Rachleff,0.4509161817169496,4,1,3,0.15030539390564987,3.3456
Frazier Technology Ventures,1.350229514890444,5,3,9,0.15002550165449377,2.3539000000000003
SRI International,0.44993877970852586,4,1,3,0.1499795932361753,2.8632
David Tisch,5.073844189757699,17,4,34,0.14923071146346173,15.3195
Nomura Phase4 Ventures,0.2982376843548118,1,1,2,0.1491188421774059,1.7879999999999998
Brian McClendon,0.4455638780665691,1,1,3,0.14852129268885636,0.741
Element Partners,1.780137133902135,12,3,12,0.14834476115851125,9.2687
Cardinal Partners,1.1829010412227785,8,2,8,0.1478626301528473,8.7225
AVAC Ltd,0.44354657226825056,4,2,3,0.1478488574227502,4.6785
Asset Management Ventures,0.5904072513489631,3,1,4,0.14760181283724078,1.5846
Technology Venture Partners,1.4752312838596897,3,1,10,0.14752312838596898,5.364199999999999
A-Grade Investments,1.7676997100365248,5,1,12,0.1473083091697104,3.7230000000000003
Steve Garfield,0.29247421482279556,2,1,2,0.14623710741139778,1.653
Magma Venture Partners,1.6064143150672114,8,6,11,0.14603766500611012,7.6154
Zhi Tan,0.14580669086093245,3,1,1,0.14580669086093245,3.2952
Changyou Fund,0.14580669086093245,3,1,1,0.14580669086093245,3.2952
Shelby Bonnie,0.43527041277363604,5,2,3,0.145090137591212,2.8842
Crosscut Ventures,1.448904088280383,5,3,10,0.1448904088280383,4.1163
Hudson Ventures,0.43143627955374597,4,2,3,0.143812093184582,4.4122
Manatt Venture Fund,0.7185204729157658,4,2,5,0.14370409458315317,4.8923
LaunchCapital,3.2973923805297822,33,5,23,0.14336488610999054,25.034499999999998
DLA Piper,0.14291798795816998,3,1,1,0.14291798795816998,2.1044
Index Ventures,19.093174833623838,61,34,134,0.1424863793554018,78.1043
SoftTech VC,9.655769568423038,37,13,68,0.1419966113003388,28.1291
David Cohen,4.827198370276683,20,9,34,0.14197642265519655,23.4687
Cyril Vermeulen,0.1419211286242587,2,1,1,0.1419211286242587,0.9464
Jeff Bezos,1.5605854049945915,8,2,11,0.14187140045405378,5.4426000000000005
Adrian Hanauer,0.1416023436211859,5,1,1,0.1416023436211859,2.1454999999999997
Dough Rowan,0.1416023436211859,5,1,1,0.1416023436211859,2.1454999999999997
Revolution Ventures,0.4241551375464844,2,1,3,0.14138504584882813,1.5556
Sizhao Yang,0.28202608982720884,10,1,2,0.14101304491360442,4.83
Sky Dayton,0.28202608982720884,10,1,2,0.14101304491360442,4.83
Joel Peterson,0.28202608982720884,10,1,2,0.14101304491360442,4.83
Vanguard Ventures,0.41999227182243715,2,1,3,0.13999742394081238,1.3842
TiE Silicon Valley Angels,0.13916558497751585,1,1,1,0.13916558497751585,0.6272
Spring Mill Venture Partners,0.4168207193766549,1,1,3,0.13894023979221828,2.3895
Ithmaar Bank,0.13869727055295256,2,1,1,0.13869727055295256,1.4918
Jeff Samberg,0.2771779841761696,4,2,2,0.1385889920880848,2.1057
Fritz Lanman,1.2404779230701481,4,2,9,0.13783088034112756,2.628
FF Angel LLC,2.2022463602684748,23,5,16,0.13764039751677967,13.9295
United Dominion Realty Trust,0.13734905187420574,2,1,1,0.13734905187420574,1.7252
Essex Property Trust,0.13734905187420574,2,1,1,0.13734905187420574,1.7252
Marcus & Millichap Venture Partners,0.13734905187420574,2,1,1,0.13734905187420574,1.7252
Rob Glaser,0.8206471142537024,5,2,6,0.13677451904228374,3.7994000000000003
Walden Israel Venture Capital,0.6793565128841881,5,3,5,0.1358713025768376,5.5492
Dawntreader Ventures,0.5427531994059291,5,3,4,0.13568829985148229,5.3078
Jawed Karim,0.6778192389819977,2,1,5,0.13556384779639954,1.6638
Members of Simon Mall Family,0.13452187456899062,1,1,1,0.13452187456899062,2.2803
Focus Ventures,0.4035153211382465,3,1,3,0.13450510704608218,1.902
fbFund,0.2689312767815468,1,1,2,0.1344656383907734,0.5796
Bill Draper,0.2684569232852924,9,1,2,0.1342284616426462,4.3469999999999995
Sherpalo Ventures,2.8171183274095895,12,6,21,0.13414849178140903,9.6205
Mason Wells Biomediacl Fund,0.13362123023116385,2,1,1,0.13362123023116385,1.6048
Accelerator Ventures,2.0024526805999,13,6,15,0.13349684537332665,9.3639
Spark Capital,8.37374702855984,33,18,63,0.13291661950094985,36.5065
Various,0.13285207561137327,2,1,1,0.13285207561137327,0.5906
New York City Investment Fund,1.0610625773859048,6,2,8,0.1326328221732381,5.1852
Windward Ventures,0.5262494375354037,3,1,4,0.1315623593838509,2.0274
Individual Investors,0.2624772333919113,2,1,2,0.13123861669595566,1.3058
TechOperators,0.7866951481646471,3,1,6,0.1311158580274412,1.9624
