funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
45501,c:208142,f:8434,c:208142,2013-08-14,series-b,Victory Park Capital,AvantCredit,finance,finance,XLF,fintech,0.7
45501,c:208142,f:3439,c:208142,2013-08-14,series-b,QED Investors,AvantCredit,finance,finance,XLF,fintech,0.7
45511,c:231110,f:74,c:231110,2012-06-07,series-a,True Ventures,Hedvig,software,software,IGV,saas,0.7
45548,c:186213,f:812,c:186213,2013-12-10,series-a,Divergent Ventures,Shippable,software,software,IGV,saas,0.7
45548,c:186213,f:136,c:186213,2013-12-10,series-a,Vulcan Capital,Shippable,software,software,IGV,saas,0.7
45548,c:186213,f:89,c:186213,2013-12-10,series-a,Madrona Venture Group,Shippable,software,software,IGV,saas,0.7
45564,c:68295,f:6417,c:68295,2013-09-03,series-b,Neomed Management,Arsanis,biotech,biotech,XBI,biotech,0.7
45564,c:68295,f:2250,c:68295,2013-09-03,series-b,OrbiMed Advisors,Arsanis,biotech,biotech,XBI,biotech,0.7
45564,c:68295,f:272,c:68295,2013-09-03,series-b,Polaris Partners,Arsanis,biotech,biotech,XBI,biotech,0.7
45564,c:68295,f:2257,c:68295,2013-09-03,series-b,SV Life Sciences,Arsanis,biotech,biotech,XBI,biotech,0.7
45641,c:172194,f:13065,c:172194,2013-08-15,series-a,Sigma West,Seismic Software,enterprise,enterprise,IGV,saas,0.7
45653,c:31804,f:515,c:31804,2013-08-15,series-b,Adams Street Partners,CareCloud,software,software,IGV,saas,0.7
45678,c:72667,f:2101,c:72667,2013-08-15,series-a,Horizons Ventures,InteraXon,hardware,hardware,SOXX,semiconductors,0.7
45678,c:72667,f:7827,c:72667,2013-08-15,series-a,OMERS Ventures,InteraXon,hardware,hardware,SOXX,semiconductors,0.7
