funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
43263,c:155570,f:3009,c:155570,2013-07-22,series-b,Third Rock Ventures,Alcresta,biotech,biotech,XBI,biotech,0.7
43263,c:155570,f:1747,c:155570,2013-07-22,series-b,Frazier Healthcare Ventures,Alcresta,biotech,biotech,XBI,biotech,0.7
43263,c:155570,f:42,c:155570,2013-07-22,series-b,Bessemer Venture Partners,Alcresta,biotech,biotech,XBI,biotech,0.7
43266,c:240028,f:3663,c:240028,2013-07-22,series-a,MMC Ventures,Invenias,software,software,IGV,saas,0.7
43266,c:240028,f:6788,c:240028,2013-07-22,series-a,Private Investment,Invenias,software,software,IGV,saas,0.7
43287,c:146016,f:5129,c:146016,2013-07-22,series-a,Kickstart Seed Fund,Contatta,software,software,IGV,saas,0.7
43287,c:146016,f:1125,c:146016,2013-07-22,series-a,Grayhawk Capital,Contatta,software,software,IGV,saas,0.7
43303,c:159228,f:74,c:159228,2013-07-08,series-a,True Ventures,Apcera,enterprise,enterprise,IGV,saas,0.7
43303,c:159228,f:41,c:159228,2013-07-08,series-a,Kleiner Perkins Caufield & Byers,Apcera,enterprise,enterprise,IGV,saas,0.7
43365,c:240329,f:12705,c:240329,2013-07-24,series-b,IncWell,iRule,software,software,IGV,saas,0.7
43373,c:240350,f:4736,c:240350,2011-05-01,series-a,Lightbank,Genus Oncology,biotech,biotech,XBI,biotech,0.7
43375,c:2465,f:4736,c:2465,2012-05-01,series-b,Lightbank,FreeAgent,software,software,IGV,saas,0.7
43402,c:156879,f:3010,c:156879,2013-07-23,series-b,Swiftsure Capital,Viableware,hardware,hardware,SOXX,semiconductors,0.7
43410,c:223437,f:1647,c:223437,2013-07-23,series-b,Metamorphic Ventures,nGage Labs,software,software,IGV,saas,0.7
43410,c:223437,f:12756,c:223437,2013-07-23,series-b,AZ Digital Farm,nGage Labs,software,software,IGV,saas,0.7
43415,c:101893,f:12715,c:101893,2013-07-23,series-b,Mithril Capital Management,C2FO,software,software,IGV,saas,0.7
43415,c:101893,f:45,c:101893,2013-07-23,series-b,Union Square Ventures,C2FO,software,software,IGV,saas,0.7
43415,c:101893,f:314,c:101893,2013-07-23,series-b,Summerhill Venture Partners,C2FO,software,software,IGV,saas,0.7
43415,c:101893,f:5209,c:101893,2013-07-23,series-b,OPENAIR Equity Partners,C2FO,software,software,IGV,saas,0.7
43448,c:47218,f:1647,c:47218,2013-07-23,series-b,Metamorphic Ventures,Sulia,social,social,FDN,consumer_internet,0.7
43448,c:47218,f:375,c:47218,2013-07-23,series-b,Greycroft Partners,Sulia,social,social,FDN,consumer_internet,0.7
43448,c:47218,f:390,c:47218,2013-07-23,series-b,FirstMark Capital,Sulia,social,social,FDN,consumer_internet,0.7
43448,c:47218,f:28,c:47218,2013-07-23,series-b,Village Ventures,Sulia,social,social,FDN,consumer_internet,0.7
