investor,community_id
Tallwood Venture Capital,2
Hudson Clean Energy Partners,2
Labrador Ventures,23
Nokia Growth Partners,5
Ulu Ventures,2
Mission Ventures,10
High Peaks Venture Partners,10
NanoDimension,29
GSV Capital,10
International Finance Corporation,10
Laureate Education,10
Learn Capital,10
World Bank,10
Bay City Capital,10
Maruho,10
Jason Spero,10
Michael Calbert,10
Novel TMT Ventures,18
Evan Williams,10
Dell,10
Pelion Venture Partners,10
Sumitomo Ventures,10
New Island Capital,10
Abengoa Solar,10
Masdar Clean Tech Fund,10
Morgan Stanley,2
Noventi Ventures,28
Paladin Capital Group,38
Passport Capital,17
Sequel Venture Partners,13
Third Point Ventures,85
Firelake Capital Management,2
TriplePoint Capital,10
Valhalla Partners,10
Ipsen,10
MPM Capital,38
Pfizer Venture Investments,29
Foundation Capital,2
US Venture Partners,10
"Moser Baer India, Ltd",10
NGEN Partners,10
Yellowstone Capital,10
Base Ventures,10
Velos Partners,10
Pappas Ventures,28
T. Rowe Price,10
Heartland Payment Systems,10
Morgan Creek Capital Management,10
Sevin Rosen Funds,10
Star Ventures,38
CODE Advisors,13
Delphi Ventures,38
Kearny Venture Partners,38
QED Investors,10
HBM BioVentures,10
Nomura Phase4 Ventures,10
ProQuest Investments,10
Digital Media Partners,31
"GMO VenturePartners, Inc.",31
City Light Capital,10
MTV Networks,17
Allergan,2
Arboretum Ventures,2
ONSET Ventures,2
BDC Venture Capital,18
EDC Equity,18
Panorama Capital,0
Rho Canada,85
Tandem Expansion,10
iNovia Capital,85
Argo Global Capital,10
Mangrove Capital Partners,13
Investor Growth Capital,29
Lehman Brothers Venture Partners,2
Auriga Partners,29
Fidelity Biosciences,10
CHL Medical Partners,10
Mason Wells Biomediacl Fund,10
Versant Ventures,10
jVen Capital,10
HarbourVest Partners,13
360 Capital Partners,29
Ventech,29
Citrix Online,10
SR One,3
Mark Jung,10
Steve Case,10
Ted Leonsis,10
ZG Ventures,10
Centerpoint Ventures,0
SeventySix Captial,19
Blacksmith Capital,10
Southern Capitol Ventures,19
Gemini Israel ventures,5
Citrix Systems,34
Ignition Venture Management,34
Time Warner Investments,10
Trident Capital,2
Opus Capital,3
Sutter Hill Ventures,22
Upfront Ventures,4
Marker,34
The Kinsey Hills Group,34
Cambrian Ventures,34
DCM,18
Technology Venture Partners,34
Qualcomm,34
European Founders Fund,10
Grotech Ventures,10
SWaN & Legend Venture Partners,10
Social Starts,13
ARC Angel Fund,23
Centurion Venture Partners,13
Hub Angels Investment Group,13
Javelin Venture Partners,4
New York Angels,13
Tribeca Venture Partners,13
Zelkova Ventures,85
David S. Rose,13
Nicholas Negroponte,13
Safeguard Scientifics,23
Founder's Co-op,22
Constantin Partners,0
BoxGroup,4
Andrew McCollum,4
LaunchCapital,4
Next View Partners,4
NextView Ventures,4
Schooner Capital,4
Sherpa Ventures,3
