investor,community_id
SAP Ventures,0
Merck Global Health Innovation Fund,23
Cross Creek Capital,34
Craig Elliott,5
Gaurav Garg,5
Jeffrey Drazan,5
Steve Campbell,5
First Round,13
High Line Venture Partners,13
Aube Investissement,48
Entrepreneur Venture,48
BNP Paribas,48
Champagne Ardenne Croissance,48
Andy Dunn,13
Cipora Herman,13
Hunter Walk,13
Matt Mullenweg,34
Michael Schroepfer,13
Peter Pham,13
Satya Patel,13
Silicon Valley Internet Capital,23
Castile Ventures,0
Apple Tree Partners,38
Athenian Venture Partners,38
Sigvion Capital,38
Triathlon Medical Venture Partners,38
Venture Investors,38
MediBic Alliance,38
BZ Bank,38
Adobe Ventures,2
Quest Software,2
eBay Enterprise,3
Alleghany Capital,0
Lowercase Capital,3
Red Hat,0
PPR SA,3
Geolo Capital,0
The Cross Country Group,0
Iconiq Capital,0
Jeremy Stoppelman,3
Youniversity Ventures,3
Skuli Mogensen,85
Extreme Venture Partners,85
Geoff Judge,85
Chart Venture Partners,2
W Media Ventures,85
Telesystem Ltd.,85
Alexandra Hall,17
Brian Hall,17
Aleksey Kandikov,17
Hopen Life Science Ventures,38
"Southwest Michigan First, Investment Arm",38
Technology Venture Investors,38
BlueStream Ventures,0
Gogi Partners,28
Pilot House Ventures,5
SVB Financial Group,19
General Atlantic,23
King Street Partners,34
Wolf Bay Holdings,34
High-Tech Gruenderfonds,40
bm-t,40
KFW,40
LBBW Venture Capital GmbH,40
S-Beteiligungen,40
K5 Ventures,40
Logan Capital AG,40
netSTART Venture,40
Heiko Hubertz,40
Leverate Media,40
Mehrdad Piroozram,40
Tim Schumacher,40
Tivola Ventures,40
Fraunhofer Venture,40
KfW Bankengruppe,40
eCAPITAL Entrepreneurial Partners AG,2
Flywheel Ventures,36
ARM,0
Huron River Ventures,0
Matthew Pritzker Company,0
Trailblazer Capital,0
Fletcher Spaght Ventures,0
Renaissance Capital Manitoba Ventures Fund,0
Accent Capital,0
Aegis Capital Group,0
Gefinor Ventures,0
Energy Capital Partners,2
Second Avenue Partners,22
LRM,3
BB Biotech Ventures,28
Endeavour Capital,28
Essex Woodlands Health Ventures,28
Cascade Investment,3
Legg Mason,3
Next Generation Finance Invest,3
Alex Zubillaga,13
Horizon Ventures,5
Michael Ovitz,18
MasterCard Worldwide,3
PROfounders,3
Legend Ventures,18
Omni Capital,18
Epicentre Technologies,18
Adara Venture Partners,2
Neotec Capital Riesgo,2
Teldat Group,2
Oklahoma Life Science Fund,28
Jerry Yang,18
Patrick Soon-Shiong,18
Cultivian Ventures,29
Forward Ventures,28
RusnanoMedInvest,28
Tech Coast Angels,36
Dawntreader Ventures,10
EDF Ventures,10
DFJ DragonFund,10
Enterprise Partners,10
Acer,2
Sumitomo Corporation Equity Asia,10
Jerusalem Venture Partners,38
Astrolabe Ventures,10
The Column Group,38
Frog & Peach Investments,10
Funk Ventures,10
Bridgepoint Investment Partners,10
Momentum Venture Management,13
Level Equity,19
Perot Investments,34
IndoUS Venture Partners,2
RPM Ventures,2
CIBC World Markets,13
TWJ Capital,13
New Vantage Group,13
Nextstage Capital,13
Patrick Condon,85
Circle P Capital,4
Cue Ball,85
Hillsven Capital,85
Travis Kalanick,85
Total Energy Ventures,29
Deep Fork Capital,3
Ascent Venture Partners,0
Advancit Capital,85
Cava Capital,85
"Verizon Communications, Inc.",85
MissionPoint Capital Partners,2
New Silk Route,2
Pacific Corporate Group,2
Baxter International,28
Druid BioVentures,28
PathoCapital,28
Savitr Capital,28
Asset Management Company,28
Baird Venture Partners,28
C&B Capital,28
Iberdrola,2
NGI Capital,50
Universal Music Group,17
Care Capital,28
Numenor Ventures,13
WS Investments,13
Devonshire Investors,13
Rackspace,13
Toba Capital,51
RiverVest,13
TPG Biotechnology Partners,13
Inflection Point Ventures,0
Maryland Venture fund,4
Tudor Growth Equity,0
Bill Apfelbaum,34
Joshua Baer,85
Primera Capital,10
Jeff Fluhr,5
Jeffrey Jordan,13
Peggy Taylor,13
Rajeev Motwani,2
Bert Roberts,17
Greg Coleman,17
RENN Capital,17
Denis Nayden,17
Rick Roth,17
CDC Enterprises,29
Seventure Partners,29
Centre Capital Developpement,18
Sofimac Partners,18
CapDecisif,29
Belgacom,38
Acartha Group,38
IDG Ventures Vietnam,5
Matt Coffin,5
Arcturus Capital,5
Seagate Technology,5
Frazier Technology Ventures,38
Intersections,5
Mark Tebbe,13
Bob Lessin,13
John Sculley,13
Jon Medved,13
Mort Meyerson,13
IDG Capital Partners,85
Infinity Venture Partners Incubator Fund,85
Kii Capital,85
Strive Capital,85
East Sky Investment,85
RTP Ventures,85
Kite Ventures,23
The Mail Room Fund,85
Panarea Capital,85
Sukhinder Singh Cassidy,85
Suzy Welch,85
MSD Capital,17
Stingray Digital,85
Egora Holding,5
King Hill Capital,5
Massachusetts Green Energy Fund,5
Northport Private Equity,5
John Thompson,5
Lane Bess,5
Ben Horowitz,13
Borealis Ventures,19
Needham Capital Partners,19
Coriolis Ventures,10
Ackerley Partners,23
10 Others,52
Telephone Acquisition Company,52
BON Fund,52
Broadhorn Capital,52
Interstate Enterprises,52
Jeff Tegethoff,52
Howard A. Brown,5
Lifeline Ventures,19
PROfounders Capital,19
Lightbank,10
Tekes,19
Media Technology Ventures,18
Peninsula Ventures,85
Monashees Capital,23
Napkn Ventures,23
Valar Ventures,23
Jeff Holmes,23
Alkermes,10
City Capital,10
Fountain Healthcare Partners,10
RA Capital Management,10
Aisling Capital,38
Entree Capital,29
Life Sciences Partners,29
Kansas Bioscience Authority,29
AC Ventures,34
CSK Venture Capital,34
Friendly Partners,34
Fund Creation,34
Japan Asia Investment,34
NIF SMBC Ventures,34
New Cycle Capital,34
Resona Capital,34
Yasuda Enterprise Development,34
Novatel,2
Boston Scientific,2
Oakwood Medical Investors,2
INVESCO Private Capital,2
SK Telecom Ventures,18
SBT Venture Capital,18
Jeff Stewart,0
Michael Yavonditte,85
NovaQuest,34
Econocom,53
Sankaty Advisors,53
PolyTechnos Venture Partners,28
Quantum Technology Partners,28
Anthem Venture Partners,10
Betfair,10
SAS Investors,0
The Entrepreneurs' Fund III,10
Sunbridge Partners,13
Concur Technologies,22
Rich Barton,22
Fidelity Growth Partners India,2
Kae Capital,2
Catamaran Ventures,2
N.R. Narayana Murthy,2
Dali Hook Partners,2
Musea Ventures,3
Limelight Networks,3
Entertainment Ventures,3
Dragoneer Investment Group,3
Catamount Ventures,3
"Kapor Enterprises, Inc.",3
Millennium Technology Value Partners,3
Intellect Capital Ventures,2
NTT DoCoMo,3
North Coast Angel Fund,2
Eli Barkat,38
Guy Gamzu,3
Jonathan Kolber,3
Climate Change Capital,23
NES Partners,23
Eden Ventures,23
Independent News & Media,23
Straub Ventures,23
Sanderling Ventures,28
Pacific Venture Capital,28
PrairieGold Venture Partners,28
DeNovo Ventures,38
BioPacific Ventures,28
GBS Ventures,28
Compass,28
Abingworth,28
Chicago Growth Partners,28
Oxford Finance Corporation,28
Baekeland Funds,29
Biotech Fund Flanders,29
KBC,29
VIB,29
PTV Sciences,34
Telegraph Hill Partners,34
Vision Capital,2
Hyde Park Angels,2
I2A Fund,2
Insikt Ventures,2
Impact Venture Partners,2
Zagat,2
HSBC Retail Services,2
Fotolia,0
Black Diamond Ventures,0
Spyglass Ventures,0
Industrial and Financial Investments Company,23
CNET Networks,13
Doug Mackenzie,13
Kevin Compton,13
Shelby Bonnie,13
Cross Atlantic Capital Partners,5
Mosaix Ventures,5
Venture Capital Fund of New England,0
Beacon Angels,36
AbbVie,36
Boston Harbor Angels,36
Cherrystone Angel Group,36
Granite State Angels,36
Mass Medical Angels,36
North Country Angels,36
Leo Capital Holdings,0
Angel Capital Entrepreneurial Fund,36
Gordon Crawford,85
VCE Capital Partners,36
Crescent Ridge Partners Ventures,36
La Costa Investment Group,36
Rady Venture Fund,36
Rancho Santa Fe Partners,36
Cherrystone,36
Dow Venture Capital,4
Prelude Trust,4
Peninsula Capital,18
Medtronic Sofamor Danek,28
Ohio Biotech Group,28
TTP Capital Advisors (Japan),28
University of Utah Endowment,28
Weber Capital,28
Eagle River Holdings,28
Sun Mountain Capital,28
Falk Strascheg Holding,3
Capital Factory,34
Kip McClanahan,34
Steven Bochco,34
True North Venture Partners,54
XPV Capital,54
FINAM Global,55
Norum,55
Apax Partners,19
Hanna Ventures,19
ABS Capital Partners,4
Coral Capital Management,28
HMS Ventures,13
Li Ka-shing,18
SRI International,18
Pejman Nozad,22
Mingxin China Growth Fund,85
Blackfin Technology,4
Lacuna LLC,4
Crawley Ventures,4
Augmentum Capital,5
Chess Ventures,28
Authosis Ventures,0
John Dean,0
Bob Bozeman,13
Michael Yang,13
Rob Conway,13
Sofinnova Partners,29
Amundi Private Equity Funds,29
BioMedPartners,29
Boehringer Ingelheim Venture Fund,29
Forbion Capital Partners,29
Takeda Ventures,28
Dassault Systemes,29
7-Ventures,10
Comcast,0
GREE Ventures,13
CondÃ© Nast,4
ArrowPath Venture Partners,0
Life Science Angels,28
Benchmark Capital / Balderton Capital,0
Gary Griffiths,0
Trinity,0
Venio Capital Partners,0
Greenhouse Capital Partners,28
Matt Holleran,23
Sozo Ventures,23
TrueBridge Capital Partners,23
Alexander Von Furstenberg,4
Damien Hirst,4
Haystack,4
Jay Jopling,4
Mellon Family,4
Redline Capital Management,4
Lemhi Ventures,3
Yaron Galai,4
Maverick Capital,18
Greenpark Capital,2
Apex Venture Partners,0
ECentury Capital Partners,0
FF Angel LLC,13
James Altucher,13
Roger Ehrenberg,13
Rock Maple Ventures,0
DSM Venturing,0
Volition Capital,0
Jake Lodwick,85
Transcoast Capital,85
Jim Pitkow,13
Ambient Sound Investments,5
Jeffrey Sechrest,5
Ken Sawyer,5
Lauder Partners,5
Kraft Group,85
Alan Levy,85
Brad Garlinghouse,13
Jeff Weiner,34
Skagen Group,2
Graph Ventures,38
Jim Moran,38
Zach Weinberg,38
TD Capital,38
S3 Ventures,5
Amplify Partners,13
VMware,5
Ali Partovi,0
Lionsgate,0
Hadi Partovi,0
Sherbrooke Capital,0
Acadia Woods Partners,19
Brian Bedol,10
Jim Pallotta,13
Best Buy Capital,10
GulfSouth Capital,56
Southern Farm Bureau Life Insurance,56
Southern Farm Bureau,56
Galeries Lafayette,29
Syngenta Ventures,29
HPI Group,23
Jubilee Investments,10
Alt Option Return,4
WGI Fund,4
WTI,4
John Osher,3
Globis Capital Partners,57
Networld,57
Infinity Venture Fund,57
Nippon Venture Capital,57
Fidelity Growth Partners Asia,57
Windspeed Ventures,18
Ben Ling,13
Dave Morin,34
James Currier,34
Josh Elman,34
Matt Ocko,34
Othman Laraki,34
Philip Kaplan,34
Shawn Fanning,34
Stan Chudnovsky,34
BP Alternative Energy,23
Adapt Low Carbon Group,23
Berti Green Accelerator,23
MMC Ventures,23
Aviv Venture Capital,58
Rimage,58
Illuminate Ventures,18
Notion Capital,23
John Taysom,23
Michael Brochu,23
Peter Gabriel,23
Roderick Banner,23
Otto Capital,23
Gemstar-TV Guide International,22
Brian Pokorny,13
Joshua Schachter,13
Christian Dahlen,5
Consor Capital,3
Karl Jacob,3
Sridar Iyengar,3
Antonio Asensio,44
Rogers Venture Partners,0
Webroot,0
Alliance of Angels,34
Version One Ventures,34
Stonehenge Capital,38
WHEB Partners,38
Investec,38
New Markets Venture Partners,2
Blue Heron Capital,2
First Analysis,2
New Millenium Partners,5
PacRim Venture Partners,2
Staenberg Venture Partners,5
Education Sales Management,85
American Family Insurance,0
350 Capital,18
Eagle Cliff Partners,18
Innovacorp,18
Shaw Group,18
Strategic angels,18
Bulger Capital Partners,0
"Mesco, ltd",0
Windcrest Partners,0
CramerOnline,0
Keiretsu Forum,0
Chrysalis Ventures,2
Harris & Harris Group,2
Originate Ventures,0
Emerald Stage2 Ventures,0
HealthTech Capital,4
ABRT Venture Fund,13
Naspers,13
FCA Venture Partners,23
Clayton Associates,23
Robert W. Baird & Co.,23
Zygote Ventures,2
Larry Blackwell,2
AdmitOne Security,22
Benaroya Capital,22
iSherpa Capital,22
Gannett,28
Alco Investment,22
Inova,57
Enova,57
Inspire,57
Neostella capital,57
Members of Simon Mall Family,3
Morton Meyerson,3
Scott Jones,3
Fritz Lanman,5
XG Ventures,18
Bill Bryant,18
Shenzhen Capital Group,60
Shenzhen Fortune Venture Capital,60
Innosight Ventures,2
Singapore Press Holdings,2
Northern Light Venture Capital,28
Ceyuan Ventures,28
Velocity Equity Partners,0
EdgeStone Capital Partners,18
Tech Capital Partners,18
Evan Hackel,34
Jeff Margolis,34
YL Ventures,34
Goldrock Capital,34
Jonathan Miller,5
Manatt Venture Fund,0
Monster Venture Partners,13
Schoffstall Ventures,13
Blake Krikorian,34
Wavepoint Ventures,2
Hallett Capital,17
Delta-V Capital,17
Queensland Investment Corporation,17
Syncarpha Capital,17
Vento Security Holdings,17
Crosspoint Venture Partners,0
Outfitter Ventures,0
Bob Bickel,5
Marc Fleury,5
Sunstone Capital,34
Conor Venture Partners,34
Greylock Partners Israel,3
Heritage Group,3
Charles Moldow,3
Diane Greene,5
Mendel Rosenblum,5
Caterina Fake,13
Gideon Yu,34
Marten Mickos,34
Qi Lu,34
Youssri Helmy,34
Aurelia Private Equity,61
Innoven Partners; Generis Capital; Aurelia Private Equity,61
FundersClub,23
Interplay Ventures,23
Crawley Hatfield Capital,13
Croghan Investments,13
Ithmaar Bank,23
Canopy Ventures,36
Verge Funds,36
Fort Washington Capital Partners Group,36
ITU Ventures,0
BMJP,0
GMT Capital,0
New Mexico Angels,38
Rise Capital,23
CRP Sante,29
Gemma Frisius Fonds,29
Omnes Capital,29
TrustCapital,29
Vesalius Biocapital Partners,29
Vinnof,29
DEFTA Partners,29
BAMS Angel Fund,29
Mitsui Global Investment,29
Shire,29
CAPE Natixis,29
Galileo Partners,29
Jerome Lecat,29
Erasmus MC Biomedical Fund,29
LSP BioVentures,29
PMV-Vinnof,29
Limburgse Reconversie Maatschappij,29
3TS Capital Partners,38
Castille Ventures,13
Ben Lerer,13
Mantucket Partners,0
Hunt Ventures,0
Kalaari Capital,5
AVAC Ltd,85
Mail.Ru Group,18
819 Capital,18
Gordy Crawford,18
Hosain Rahman,18
Phil knight,18
Seavest Capital Partners,18
WWE,18
Ynon Kreiz,18
AccÃ¨s Capital,18
Jean LaViGeur,18
Patrick O'Leary,18
"Ben T. Smith, IV",3
Gil Penchina,3
The McClatchy Company,28
Tribune Company,28
Herman Sarkowsky,28
Shai Reshef,10
Creative Artists Agency,3
Grail Partners,5
Ojas Venture Partners,5
Grauer Brothers Capital,5
Paul Longhenry,5
Plug & Play Ventures,19
Elaia Partners,29
IRDI-ICSO,29
Orkos Capital,29
Silicon Alley Venture Partners,13
ClearSky Power & Technology Fund,3
Novus Energy Partners,3
Start Up Farms International,3
ACE Management,29
Demeter Partners,29
Almaz Capital,85
ru-Net Holdings,85
Gary Kremen,38
Lorenzo Thione,38
Manu Kumar,38
Marcus Ogawa,38
Warburg Pincus,34
Michael van Swaaij,62
Paul Birch,62
Cyril Vermeulen,29
Mountain Partners,40
Shepherd Ventures,10
Vicente Capital Partners,10
Ehud Weinstein,40
Ofir Shalvi,40
H2 Investments,40
Point Nine Capital,40
Cubit Investments,38
DS Digitale Seiten GmbH,40
NWZ Publishing House,40
PDV Inter-Media Ventures,40
Team Europe Ventures,40
No 8 Ventures,19
Imlay Investments,10
GRA Venture Fund,10
Francisco Partners,10
Genevest Consulting Group,34
David Richmond,4
Hermann Hauser,4
Dmitry Khan,65
I2BF Global Ventures,65
Dmitry Kushaev,65
Mikhail Kokorich,65
Sergey Ivanov,65
Mitsubishi Corporation,57
Fobal Corporation,57
Koyosha,57
Sony Communication Network,57
Nippon Technology Venture Partners,57
Sumitomo Corporation,57
Baring Vostok Capital Partners,57
Dan Shapiro,22
Mika Salmi,22
Rob Glaser,22
Business Angels,29
Xavier Niel,5
Holtzbrinck,23
Team Europe,23
Point Nine,23
Tengelmann Ventures,23
BBVA Ventures,23
Groupon,23
T-bolaget,66
Servisen Investment Management,66
Al Avery,3
SAP,38
Spencer Trask,38
Chengwei Capital,22
Dickey Revocable Living Trust,22
Zweben Family Revocable Trust,22
Zone Ventures,23
Alexander Tamas,23
Bill Draper,23
Capricorn Investment Group,23
Transmedia Capital,23
Zao Yang,23
BOLDstart Ventures,38
Genacast Ventures,13
Forticom,10
Prostor Capital,17
Brett Brewer,10
Crosscut Ventures,10
Robin Richards,10
Scott Walchek,10
Bluff Point Associates,38
Bob Brinker,3
Brian Lee,5
Don Hutchison,3
Jay Gould,18
Science,3
Ted Rheingold,3
Tom Ryan,3
Dan Rose,3
David Lee,3
Hiroshi Mikitani,3
John Pestana,3
Lars Dalgaard,3
Mark Gorenberg,3
Paul Sagan,3
Steven Singh,3
Simon Equity Partners,3
Charles Schwab,17
Ben Narasin,34
Bradley Horowitz,34
Indian Angel Network,2
Frontier Capital,85
Don Katz,5
Amos Wilnai,5
Gary Ginsberg,5
Oren Zeev,5
VenFin,5
Veritas Venture Partners,5
Jim Larrison,10
Russ Fradin,10
Dada,67
Dada SpA.,67
Rocket Internet,4
Africa Internet Holding,4
Latin America Internet Holding (LIH),4
Jeff Clavier,3
Joe Kraus,3
Richard Wolpert,3
Martin Varsavsky,3
Ouriel Ohayon,29
Pierre Chappaz,29
Omninet,2
Jon Feltheimer,28
Mark Amin,28
Micron Ventures,3
Rod Johnson,3
Bend Venture Conference,28
Oregon Angel Fund,2
Foresite Capital,28
MVM Life Science Partners,28
Braveheart Investment Group,34
Octopus,34
Cambridge Capital Group,34
Carl Uminski,34
Jon Craton,34
Nick Hynes,34
Bertelsmann,40
Val Katayev,40
High-Tech Grunderfonds Management,40
Tengelmann E-Commerce Beteiligungs,40
VI Partners,40
Warner Music Group,40
BayBG,2
NRG Energy,0
SJF Ventures,10
Oceanshore Ventures,29
TEL Venture Capital,29
US Invest,29
Andy Liu,22
Northwest Energy Angels,22
Pivotal Investments,22
Geoff Entress,22
Karl Siebrecht,22
Rethink Education,4
Greg Gunn,4
NewSchools Venture Fund,4
Richard Chino,4
Zac Zeitlin,4
Innovatech QuÃ©bec,18
Ontario Emerging Technologies Fund,28
Innovatech,18
Outaouais Regional Solidarity Fund,18
Ãcho Capital FIER Outaouais,18
T2C2 Capital,18
Tel-Ad Electronics,38
Albert Wenger,13
Stewart Butterfield,13
Tapit Partners,34
Battelle Ventures,34
Edison Innovation Fund,34
Finisar,34
Innovation Valley Partners,34
Novitas Capital,0
Michael Chasen,10
Troika Ventures,2
GF Private Equity,29
Jim Barnett,34
HLM Venture Partners,0
Keynote Ventures,5
PVI,5
SunAmerica Ventures,5
Pharmstandard,2
Starfish Ventures,2
Capricorn Management,68
BASF Venture Capital,68
Capricorn Venture Partners,68
DB Masdar Fund,68
Israel Cleantech Ventures,68
North Sky Capital,68
SAM Private Equity,68
A-Grade Investments,13
Dave Morgan,13
Don Baer,13
Guy Oseary,13
Jason Goldberg,13
Jon Anderson,13
The Washington Post Company,13
Yandex,5
Spray Venture Partners,2
Barwell Plc,29
Sigma Capital Group,29
Tweed Renaissance Investors Capital,29
Arthur Samberg,3
Chris Hughes,3
Jeff Samberg,13
Maynard Webb,13
Curious Office Partners,22
Kelly Smith,22
Andrew Anker,3
Mike Homer,3
Tim O'Reilly,3
Aquitaine Creation,29
Picoty,29
StageOne Ventures,10
Bergstein,69
"Gund Investment, LLC",69
Persistency Capital,69
Wheatley Partners,69
Jim McNiel,69
Pat Sullivan,70
The Stephens Group,70
KB Partners,71
Heartland Capital Network,71
"United Defense, L.P.",71
Palo Alto Investors,3
Vickers Capital Group,72
SK Telecom,72
GlaxoSmithKline,38
Pangaea Ventures,38
Peter Currie,3
Quincy Smith,3
The Chernin Group,3
Caufield Angel Fund,2
Wilson Sonsini,2
Skype,3
IXcore,73
SG Asset Management Private Equity,73
Scientipole Ile-de-France Capital,73
Scientipole Initiative,73
IRIS Software Group,10
The Contrarian Group,3
Triage Ventures,13
Josh Felser,22
Industrial Bank of Taiwan,2
VIA Technologies,2
MCG Capital,4
Partisan Management Group,4
Five Mill Ventures,4
Tango,4
The Iron Yard,4
eonBusiness,4
Gestora de Finances per Emprenedor,74
Caixa Capital Risc,74
Highgrowth Partners,74
Accede Capital,2
Deutsche Bank,2
UPS Strategic Enterprise Fund,2
Golden Horn Ventures,75
TIMAR,75
Millicom International Cellular,4
Adena Ventures,76
Invest Nebraska,76
American Public Media,3
Jim Manzi,3
Southern California Public Radio,3
Andrew Tobias,3
Gerace Family,3
Jon Lovelace,3
Ashton Peery,10
US Renewables,18
Duke Energy Corporation,18
CD-Venture,28
Flatiron Partners,85
The New Markets Growth Fund,2
Walker Ventures,2
Horizon Group,77
Schroders,77
Len Blavatnik,18
Inventure Partners,18
Shahar Waiser (Smirin),18
OAF - Oregon Angel Fund,78
Taylor,78
Information Capital LLC,29
Polar Capital Group,13
Russell Simmons,34
EXA Ventures,79
Berg Enterprises,79
Banexi Ventures,29
Peninsula Equity Partners,29
Killik & Co,29
2B Angels,5
Vintage Investment Partners,5
Management & Angels,80
Millry Corporation,80
Incubic Venture Fund,10
NCB Ventures,2
Ulster Bank Diageo Venture Fund,2
Joaquin Engel,44
Jose Manuel Villanueva,44
Lucas Carne,44
Alexandra Investment Management,81
Prokom Investments,81
Bill Bradley,81
KVK,81
Lu Pat Ng,81
Murat Vargi,81
Pentti Kouri,81
Aurus,82
Gerens Capital,82
Capital Midwest Fund,36
DaneVest Capital,36
Phenomenelle Angels,36
Silicon Pastures,36
Wisconsin Investment Partners,36
Women Angels,36
Aaron Patzer,13
Paul Kagan,17
David Lawee,10
Michael Abbott,10
Nils Johnson,10
Patrick Pohlen,10
Steve Chen,10
Thomas Layton,10
FinistÃÂ¨re Business Angels,83
Inserm Transfert Initiative,83
Carriage House Partners,84
Hadron Global Partners,84
RLB Holdings,84
Jim Hornthal,22
Raymond Tonsing,22
Garber Fund,2
Peterson Ventures,2
Liquid Capital Group,36
Resolute.vc,22
Zero2IPO Capital,5
Bertelsmann AG,5
CyberAgent,5
Sequoia China,5
Brad Gerstner,18
Hugh Crean,22
Gene DeRose,86
Jon Kiehnau,86
Josh Weinreich,86
Kurt Abrahamson,86
Patrick Keane,86
Robert Kavner,86
Oren Dobronsky,5
LaunchTime,19
Brian Shin,0
Mike Volpe,0
Premier Ventures Capital,17
Hanwha Venture Capital,17
KDB Capital,17
Softbank Ventures Korea,17
DeeBek Ventures,23
Joel Peterson,23
John Glynn,23
Sizhao Yang,23
Sky Dayton,23
Varsha Rao,23
Burda Digital Ventures,23
Audiovox Canada,18
British Columbia Discovery Funding,18
TELUS Ventures,18
Adrian Hanauer,22
Alex Algard,22
Andy Sack,22
Dough Rowan,22
Daimler,40
car2go,40
Neuhaus Partners,40
Josh James,10
Big Sky Partners,28
Fisher Capital,28
Sierra Angels,28
Josh Coates,34
ERP Startfonds,40
Emerging Technology Partners,38
GrowthWorks Atlantic Venture Fund,85
New Brunswick Innovation Foundation,85
Nelnet,37
Optimas Group,37
Eqvitec Partners Oy,17
Viking Venture Management,17
Finnish Industry Investment,17
California Technology Ventures,17
Open Ocean,17
Spintop Ventures,17
Richard Mishaan,18
William M. Smith,18
The Hit Forge,34
Mosaic Asset Management,0
Nob Hill Capital Management,0
Startup Factory,38
Joel Hyatt,10
21Ventures,34
Frontier Communications Corporation,34
Eduardo Saverin,34
Venrex Investment Management,34
Iggy Fanlo,2
Kanwal Rekhi,2
Jason Kiefer,4
The Trisiras Group,4
Various,22
Venture51,4
Daniel Gillett,5
Investment AB ÃÂresund,5
NIF Ventures,10
Nova Spivack,85
Thomas Korte,85
Jonathan Glick,3
Shana Fisher,3
Tom Pinkney,3
Osman Rashid,10
Kramer Capital Partners,17
LaunchCyte,17
Saturn Partners,17
AsiaTech Management,10
Denali Software,10
Baidu,2
DFJ ePlanet Ventures,2
NTEC,2
Prime Ventures,2
Strategic,2
Ed Park,10
Gerson Lehrman Group,10
James Golden,10
John Goldsmith,10
Jonathan Bush,10
CM-CIC Capital PrivÃÂ©,29
2BAngles,87
Neurato Investments,87
PLUS Ventures,87
George Soros,0
GMG Capital Partners,88
Council Ventures,88
H.I.G. Ventures,88
Taishan Invest AG,34
Incubator at Rose Tech Ventures,34
Emanuele Levi,29
FranÃ§ois Tison,29
Paul Degueuse,29
Amidzad Partners,10
Kima Ventures,85
Alven Capital,85
Angel Investors LP,40
Partner Innovation Fund,38
China Development Industrial Bank (CDIB),28
Larkspur Capital Corporation,28
SLS Venture,28
Greenangel Energy,23
Convergence Partners,28
San Francisco Equity Partners,28
iOCS Corporation,28
Early Stage Partners,10
Micron Technology,5
NEC,5
Seagate,5
VenGrowth Asset Management,18
Brian O'Kelley,13
Ed Zimmerman,18
Geoff Vuleta,18
Bill Trenchard,38
Lionhart Advisors Group,28
Progress Ventures,85
British Telecom,23
HENQ Invest,89
OTM Investments,89
Christos M. Cotsakos,90
Bernard Marcus,90
Kenneth Langone,90
Vantis Capital Management,90
Heidelberg Innovation,10
Mannheim Holdings,10
"Mike Maples, Sr.",0
Tom Meredith,0
Anthos Capital,13
EMC Ventures,5
DoubleRock,13
John Pappajohn,13
Siemer Ventures,50
Signal Ventures,13
The Social Internet Fund,13
WGI Group,13
Warren Adelman,13
Compass Technology Partners,5
Valor Equity Partners,5
Invus Financial Advisors,40
Lumia Capital,40
Enlight,40
Wipro Technologies,40
Lumira Capital,28
Revel Partners,13
KIZOO,17
Markus Stolz,17
G-51 Capital,13
Biz Stone,22
Cooley LLP,22
Julie Davidson,22
Mike Tatum,22
Om Malik,22
Dennis Crowley,13
INTEC IT Capital,57
Mitsui Sumitomo Insurance Venture Capital,57
SMBC Venture Capital,57
Sansei Capital Investment,57
ngi group,57
Geoff Ralston,13
Mark Goines,13
KITVEN Fund,34
Los Angeles Times Media Group,38
Sophia Eurolab,29
TechFund,29
Bowery Capital,13
Jonah Goodhart,13
Michael Walrath,13
Noah Goodhart,13
Vast Ventures,13
Frontera Capital,50
Dentsu,50
Meritage Funds,50
Suneight,50
UniqueLab,50
The Angels' Forum,50
Northcap,34
Enbridge,2
Nypro,2
Turnstone Capital Management,2
AO Capital Partners,50
Global Gateway Investment Group,50
Alan Laifer,85
Andy Russell,13
Tom Chiu,85
Investment Arm,18
Rio Bravo,13
MIH,13
Okapi Venture Capital,92
Intuitive Venture Partners,92
Sunshine Wireless Company,92
Baylor Angel Network,5
Aviv Raiz,34
Yuval Rakavy,34
Essex Property Trust,22
Marcus & Millichap Venture Partners,22
United Dominion Realty Trust,22
Barshop Ventures,93
Syncom Venture Partners,93
The Texas Emerging Technology Fund,93
Pavillion Capital,3
Slater Technology Fund,0
Seed Capital,34
Vaekstfonden,34
Mike Volpi,3
Scott Marlette,3
Sean Parker,3
Medinnova,18
University Medical Discoveries,18
Himalaya Capital Ventures,10
Gary Lauder,10
Bretagne Jeunes,94
Fa Diese 2,94
Ouest Ventures,94
Paca Entreprendre,94
OSEO Innovation,94
T-Venture Holding GmbH (Deutsche Telekom AG),29
Kegonsa Capital Partners,2
Kegonsa Technologies,2
Duff Ackerman & Goodrich,3
RTI International,2
Peter Thorp,13
Investinor,18
Reservoir Venture Partners,34
Stuart Mill Venture Partners,34
BAN Vlaanderen,29
GIMV ARKIV ICT Fund,29
The Institute for the Promotion of Innovation by Science and Technology in Flanders,29
G-Market,28
HTV Industries,28
Saeed Amidi,22
LODH Immunology Fund,38
Core Capital,4
Toshiba Corporation,0
Avid Larizadeh,13
Stephen Marcus,13
Minor Ventures,22
Accel-KKR,40
JGE Capital Management,40
Silver Lake Partners,40
Tola Capital,40
Bill Watkins,13
Calumet Venture Fund,13
Stuart Larkins,13
Alan Axelrod,22
Brian Goffman,22
David Niu,22
Marc Friend,22
Angel CoFund,23
John Garfield,23
