source,target,company,weight,round_gap_years,source_round,target_round
Propulsion Ventures,Louis Tetu,Coveo,0.3920582045577666,3.121,series-a,series-b
Amadeus Capital Partners,Bay Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
Amadeus Capital Partners,Spark Capital,Covestor,0.21122624642780863,5.183,series-a,series-b
Amadeus Capital Partners,Union Square Ventures,Covestor,0.21122624642780863,5.183,series-a,series-b
Spark Capital,Amadeus Capital Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
Spark Capital,Bay Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
Spark Capital,Union Square Ventures,Covestor,0.21122624642780863,5.183,series-a,series-b
Union Square Ventures,Amadeus Capital Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
Union Square Ventures,Bay Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
Union Square Ventures,Spark Capital,Covestor,0.21122624642780863,5.183,series-a,series-b
betaworks,Amadeus Capital Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
betaworks,Bay Partners,Covestor,0.21122624642780863,5.183,series-a,series-b
betaworks,Spark Capital,Covestor,0.21122624642780863,5.183,series-a,series-b
betaworks,Union Square Ventures,Covestor,0.21122624642780863,5.183,series-a,series-b
FF Angel LLC,Felicis Ventures,Credit Karma,0.35966318992904944,3.409,series-a,series-b
FF Angel LLC,Ribbit Capital,Credit Karma,0.35966318992904944,3.409,series-a,series-b
FF Angel LLC,Susquehanna Growth Equity,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Felicis Ventures,Ribbit Capital,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Felicis Ventures,Susquehanna Growth Equity,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Founders Fund,Felicis Ventures,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Founders Fund,Ribbit Capital,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Founders Fund,Susquehanna Growth Equity,Credit Karma,0.35966318992904944,3.409,series-a,series-b
QED Investors,Felicis Ventures,Credit Karma,0.35966318992904944,3.409,series-a,series-b
QED Investors,Ribbit Capital,Credit Karma,0.35966318992904944,3.409,series-a,series-b
QED Investors,Susquehanna Growth Equity,Credit Karma,0.35966318992904944,3.409,series-a,series-b
SV Angel,Felicis Ventures,Credit Karma,0.35966318992904944,3.409,series-a,series-b
SV Angel,Ribbit Capital,Credit Karma,0.35966318992904944,3.409,series-a,series-b
SV Angel,Susquehanna Growth Equity,Credit Karma,0.35966318992904944,3.409,series-a,series-b
Grail Partners,Globespan Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Grail Partners,Inventus Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Grail Partners,Menlo Ventures,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Grauer Brothers Capital,Globespan Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Grauer Brothers Capital,Inventus Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Grauer Brothers Capital,Menlo Ventures,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Inventus Capital Partners,Globespan Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Inventus Capital Partners,Menlo Ventures,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Paul Longhenry,Globespan Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Paul Longhenry,Inventus Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Paul Longhenry,Menlo Ventures,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Plug & Play Ventures,Globespan Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Plug & Play Ventures,Inventus Capital Partners,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Plug & Play Ventures,Menlo Ventures,Credit Sesame,0.7726682116945687,0.86,series-a,series-b
Herald Ventures,Lanza Tech Ventures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Herald Ventures,Lanza TechVentures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Herald Ventures,Pentech Ventures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Pentech Ventures,Herald Ventures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Pentech Ventures,Lanza Tech Ventures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Pentech Ventures,Lanza TechVentures,CriticalBlue,0.4493289641172216,2.667,series-a,series-b
Greycroft Partners,RTP Ventures,CrowdComputing Systems,0.4697067020565465,2.519,series-a,series-b
Greycroft Partners,iNovia Capital,CrowdComputing Systems,0.4697067020565465,2.519,series-a,series-b
RTP Ventures,iNovia Capital,CrowdComputing Systems,0.4697067020565465,2.519,series-a,series-b
Bessemer Venture Partners,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Bessemer Venture Partners,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Felicis Ventures,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Felicis Ventures,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Felicis Ventures,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Founders Fund,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Founders Fund,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Founders Fund,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Gary Kremen,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Gary Kremen,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Gary Kremen,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
K9 Ventures,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
K9 Ventures,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
K9 Ventures,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Lorenzo Thione,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Lorenzo Thione,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Lorenzo Thione,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Manu Kumar,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Manu Kumar,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Manu Kumar,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Marcus Ogawa,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Marcus Ogawa,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Marcus Ogawa,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Quest Venture Partners,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Quest Venture Partners,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Quest Venture Partners,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Travis Kalanick,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Travis Kalanick,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Travis Kalanick,Trinity Ventures,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Trinity Ventures,Bessemer Venture Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Trinity Ventures,Harmony Partners,CrowdFlower,0.7047604433394434,1.166,series-a,series-b
Trinity Ventures,InterWest Partners,CubeTree,0.6210236978665982,1.588,series-a,series-b
North Bridge Venture Partners,Egan-Managed Capital,Currensee,0.8877221232400165,0.397,series-a,series-b
High-Tech Gruenderfonds,K5 Ventures,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
High-Tech Gruenderfonds,Logan Capital AG,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
High-Tech Gruenderfonds,netSTART Venture,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
Mountain Partners,High-Tech Gruenderfonds,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
Mountain Partners,K5 Ventures,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
Mountain Partners,Logan Capital AG,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
Mountain Partners,netSTART Venture,Customer Alliance,0.6703200460356393,1.333,series-a,series-b
Foundation Capital,Matrix Partners,Cyphort,0.6282060484785302,1.55,series-a,series-b
Foundation Capital,Trinity Ventures,Cyphort,0.6282060484785302,1.55,series-a,series-b
Matrix Partners,Foundation Capital,Cyphort,0.6282060484785302,1.55,series-a,series-b
Matrix Partners,Trinity Ventures,Cyphort,0.6282060484785302,1.55,series-a,series-b
August Capital,Pelion Venture Partners,DNN Corp,0.693847502202073,1.218,series-a,series-b
August Capital,Sierra Ventures,DNN Corp,0.693847502202073,1.218,series-a,series-b
Sierra Ventures,August Capital,DNN Corp,0.693847502202073,1.218,series-a,series-b
Sierra Ventures,Pelion Venture Partners,DNN Corp,0.693847502202073,1.218,series-a,series-b
DS Digitale Seiten GmbH,NWZ Publishing House,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
DS Digitale Seiten GmbH,PDV Inter-Media Ventures,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
Point Nine Capital,NWZ Publishing House,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
Point Nine Capital,PDV Inter-Media Ventures,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
Team Europe Ventures,NWZ Publishing House,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
Team Europe Ventures,PDV Inter-Media Ventures,DS Digitale Seiten,0.5485862977124283,2.001,series-a,series-b
Bay Partners,Kennet Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Bay Partners,King Street Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Bay Partners,Wolf Bay Holdings,Daptiv,0.3863044988219952,3.17,series-a,series-b
Genevest Consulting Group,Bay Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Genevest Consulting Group,Kennet Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Genevest Consulting Group,King Street Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Genevest Consulting Group,Wolf Bay Holdings,Daptiv,0.3863044988219952,3.17,series-a,series-b
Kennet Partners,Bay Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Kennet Partners,King Street Partners,Daptiv,0.3863044988219952,3.17,series-a,series-b
Kennet Partners,Wolf Bay Holdings,Daptiv,0.3863044988219952,3.17,series-a,series-b
Valhalla Partners,Fairhaven Capital Partners,Dataupia,0.6534678051990546,1.418,series-a,series-b
Valhalla Partners,Polaris Partners,Dataupia,0.6534678051990546,1.418,series-a,series-b
Greylock Partners,Lightspeed Venture Partners,Delphix,0.7076606879928801,1.153,series-a,series-b
Lightspeed Venture Partners,Greylock Partners,Delphix,0.7076606879928801,1.153,series-a,series-b
Social Leverage,Bullpen Capital,Desk,0.8050605537516571,0.723,series-a,series-b
Social Leverage,Index Ventures,Desk,0.8050605537516571,0.723,series-a,series-b
Social Leverage,Kenny Van Zant,Desk,0.8050605537516571,0.723,series-a,series-b
Social Leverage,Salesforce,Desk,0.8050605537516571,0.723,series-a,series-b
Social Leverage,True Ventures,Desk,0.8050605537516571,0.723,series-a,series-b
True Ventures,Bullpen Capital,Desk,0.8050605537516571,0.723,series-a,series-b
True Ventures,Index Ventures,Desk,0.8050605537516571,0.723,series-a,series-b
True Ventures,Kenny Van Zant,Desk,0.8050605537516571,0.723,series-a,series-b
True Ventures,Salesforce,Desk,0.8050605537516571,0.723,series-a,series-b
True Ventures,Social Leverage,Desk,0.8050605537516571,0.723,series-a,series-b
Matrix Partners,Pilot House Ventures,Digital Reef,0.4383924974023989,2.749,series-a,series-b
Chrysalis Ventures,.406 Ventures,Digitalsmiths,0.6599404010446065,1.385,series-a,series-b
Chrysalis Ventures,The Aurora Funds,Digitalsmiths,0.6599404010446065,1.385,series-a,series-b
The Aurora Funds,.406 Ventures,Digitalsmiths,0.6599404010446065,1.385,series-a,series-b
The Aurora Funds,Chrysalis Ventures,Digitalsmiths,0.6599404010446065,1.385,series-a,series-b
Timothy Draper,EPIC Ventures,DivX,0.5921326248907613,1.747,series-a,series-b
Timothy Draper,New Atlantic Ventures,DivX,0.5921326248907613,1.747,series-a,series-b
Timothy Draper,WI Harper Group,DivX,0.5921326248907613,1.747,series-a,series-b
Timothy Draper,Zone Ventures,DivX,0.5921326248907613,1.747,series-a,series-b
Zone Ventures,EPIC Ventures,DivX,0.5921326248907613,1.747,series-a,series-b
Zone Ventures,New Atlantic Ventures,DivX,0.5921326248907613,1.747,series-a,series-b
Zone Ventures,Timothy Draper,DivX,0.5921326248907613,1.747,series-a,series-b
Zone Ventures,WI Harper Group,DivX,0.5921326248907613,1.747,series-a,series-b
BOLDstart Ventures,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
BOLDstart Ventures,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
BOLDstart Ventures,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
BOLDstart Ventures,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
BOLDstart Ventures,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Comcast Ventures,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Comcast Ventures,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Comcast Ventures,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Comcast Ventures,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Genacast Ventures,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Genacast Ventures,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Genacast Ventures,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Genacast Ventures,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Genacast Ventures,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Google Ventures,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Google Ventures,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Google Ventures,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Google Ventures,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
High Peaks Venture Partners,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
High Peaks Venture Partners,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
High Peaks Venture Partners,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
High Peaks Venture Partners,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
High Peaks Venture Partners,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
NYC Seed,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
NYC Seed,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
NYC Seed,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
NYC Seed,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
NYC Seed,Qualcomm Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Qualcomm Ventures,Comcast Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Qualcomm Ventures,Globespan Capital Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Qualcomm Ventures,Google Ventures,Divide,0.40415580256072525,3.02,series-a,series-b
Qualcomm Ventures,Harmony Partners,Divide,0.40415580256072525,3.02,series-a,series-b
Andreessen Horowitz,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Andreessen Horowitz,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Andreessen Horowitz,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Andreessen Horowitz,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Andreessen Horowitz,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Andreessen Horowitz,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Benchmark,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Dan Rose,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
David Lee,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Hiroshi Mikitani,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Hummer Winblad Venture Partners,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Institutional Venture Partners,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
John Pestana,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
John Thompson,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Lars Dalgaard,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Marc Benioff,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Mark Gorenberg,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Paul Sagan,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Ron Conway,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
SV Angel,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Steven Singh,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
Transmedia Capital,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,Bezos Expeditions,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,Founders Fund,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,GGV Capital,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,Greylock Partners,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,Jeff Bezos,Domo,0.5805744896160538,1.812,series-a,series-b
WPP,Mercato Partners,Domo,0.5805744896160538,1.812,series-a,series-b
Accel Partners,Benchmark,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Glynn Capital Management,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Goldman Sachs,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Greylock Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Index Ventures,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Institutional Venture Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,RIT Capital Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,SV Angel,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Sequoia Capital,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Valiant Capital Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Accel Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Benchmark,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Glynn Capital Management,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Goldman Sachs,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Greylock Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Index Ventures,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Institutional Venture Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,RIT Capital Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,SV Angel,Dropbox,0.40117921850144583,3.044,series-a,series-b
Sequoia Capital,Valiant Capital Partners,Dropbox,0.40117921850144583,3.044,series-a,series-b
Accel Partners,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Accel Partners,Menlo Ventures,Dropcam,0.7997879697703614,0.745,series-a,series-b
Ben Narasin,Accel Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Ben Narasin,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Ben Narasin,Menlo Ventures,Dropcam,0.7997879697703614,0.745,series-a,series-b
Bradley Horowitz,Accel Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Bradley Horowitz,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Bradley Horowitz,Menlo Ventures,Dropcam,0.7997879697703614,0.745,series-a,series-b
David Cowan,Accel Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
David Cowan,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
David Cowan,Menlo Ventures,Dropcam,0.7997879697703614,0.745,series-a,series-b
Felicis Ventures,Accel Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Felicis Ventures,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Felicis Ventures,Menlo Ventures,Dropcam,0.7997879697703614,0.745,series-a,series-b
Mitch Kapor,Accel Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
Mitch Kapor,Bay Partners,Dropcam,0.7997879697703614,0.745,series-a,series-b
