eval_date,investor,tps,in_top_tier,audit_hash
2005-12-31,Benchmark,0.3880572825208215,True,58e8b40a1e5832d2
2005-12-31,Draper Fisher Jurvetson (DFJ),0.3782628894318458,True,58e8b40a1e5832d2
2005-12-31,Alloy Ventures,0.37658473562378053,False,58e8b40a1e5832d2
2005-12-31,Garage Technology Ventures,0.36959569624614647,False,58e8b40a1e5832d2
2005-12-31,Valhalla Partners,0.3634289874899397,False,58e8b40a1e5832d2
2005-12-31,Bessemer Venture Partners,0.3551046917838634,True,58e8b40a1e5832d2
2005-12-31,TD Capital,0.3462054839906967,False,58e8b40a1e5832d2
2005-12-31,PolyTechnos Venture Partners,0.34566901940477707,False,58e8b40a1e5832d2
2005-12-31,Quantum Technology Partners,0.34566901940477707,False,58e8b40a1e5832d2
2005-12-31,Vulcan Capital,0.34566901940477707,False,58e8b40a1e5832d2
2005-12-31,Star Ventures,0.33134966711321834,False,58e8b40a1e5832d2
2005-12-31,Borealis Ventures,0.32800303174875334,False,58e8b40a1e5832d2
2005-12-31,Kodiak Venture Partners,0.32800303174875334,False,58e8b40a1e5832d2
2005-12-31,Needham Capital Partners,0.32800303174875334,False,58e8b40a1e5832d2
2005-12-31,North Bridge Venture Partners,0.32736022969346945,True,58e8b40a1e5832d2
2005-12-31,Amgen,0.3195883121934736,False,58e8b40a1e5832d2
2005-12-31,MPM Capital,0.3195883121934736,False,58e8b40a1e5832d2
2005-12-31,Genesis Partners,0.296711485946815,True,58e8b40a1e5832d2
2005-12-31,Smac Partners,0.2936524478555956,False,58e8b40a1e5832d2
2005-12-31,Atlas Venture,0.29015088609655365,True,58e8b40a1e5832d2
2005-12-31,Fluke Venture Partners,0.2886448842063243,True,58e8b40a1e5832d2
2005-12-31,Sequoia Capital,0.2861688734016696,False,58e8b40a1e5832d2
2005-12-31,August Capital,0.27643798567364436,False,58e8b40a1e5832d2
2005-12-31,Medtronic Sofamor Danek,0.26764068474570446,False,58e8b40a1e5832d2
2005-12-31,Ohio Biotech Group,0.26764068474570446,False,58e8b40a1e5832d2
2005-12-31,Asset Management Company,0.2260712483420136,True,58e8b40a1e5832d2
2005-12-31,Columbia Capital,0.21672757617210947,False,58e8b40a1e5832d2
2005-12-31,Menlo Ventures,0.19533062712531435,False,58e8b40a1e5832d2
2005-12-31,Balderton Capital,0.19062281500461706,False,58e8b40a1e5832d2
2005-12-31,Greylock Partners,0.19047255679143382,True,58e8b40a1e5832d2
2005-12-31,Kevin Hartz,0.19021885688986773,False,58e8b40a1e5832d2
2005-12-31,Peter Thiel,0.19021885688986773,False,58e8b40a1e5832d2
2005-12-31,Scott Banister,0.19021885688986773,False,58e8b40a1e5832d2
2005-12-31,Walden Israel Venture Capital,0.18662183318413683,True,58e8b40a1e5832d2
2005-12-31,Blacksmith Capital,0.18506854771614623,False,58e8b40a1e5832d2
2005-12-31,Abingworth,0.17808206191114942,False,58e8b40a1e5832d2
2005-12-31,Ali Partovi,0.16657315727104804,False,58e8b40a1e5832d2
2005-12-31,Hadi Partovi,0.16657315727104804,False,58e8b40a1e5832d2
2005-12-31,Selby Venture Partners,0.16263328079266665,False,58e8b40a1e5832d2
2005-12-31,Canaan Partners,0.16214144632794464,True,58e8b40a1e5832d2
2005-12-31,Ascend Venture Group,0.161901776102439,False,58e8b40a1e5832d2
2005-12-31,Globespan Capital Partners,0.161901776102439,False,58e8b40a1e5832d2
